Accession,Organism,Strain,Isolation_Source,Host,Country,Collection_Year
OL477472.1,Influenza A virus,A/chicken/Lesotho/341.10/2021,nasopharyngeal swab,chicken,,2021
PQ135850.1,Influenza A virus,A/goose/GuangDong/1189/2023,cloacal swab,goose,,2023
PP998402.1,Influenza A virus,A/Corvus corax/Komsomolsk-na-Amure/3413_M/2022,lung,Corvus corax,,2022
PP998378.1,Influenza A virus,A/Gallus gallus domesticus/Komsomolsk-na-Amure/3354_M/2022,lung,Gallus gallus,,2022
OP597629.1,Influenza A virus,A/pelican/Tumen/1032-1/2021,internal organs,pelican,,2021
OP597613.1,Influenza A virus,A/common teal/Chelyabinsk/1379-1/2021,internal organs,common teal,,2021
PV616648.1,Influenza A virus,A/chicken/NJ/25-009510-001-original/2025,Cloacal/Tracheal Swab Pool,chicken,,2025
PV616576.1,Influenza A virus,A/chicken/IN/25-005210-002-original-repeat2/2025,swab,chicken,,2025
PV616552.1,Influenza A virus,A/chicken/IL/25-009367-001-original/2025,tracheal swab,chicken,,2025
PP801921.1,Influenza A virus,A/northern pintail/USA/IZ22_0333/2022,oropharyngeal/cloacal swab,northern pintail,,2022
PQ098726.1,Influenza A virus,A/Gallus gallus/Fehraltorf/V0384_MP/2023,swab,Gallus gallus,,2023
OR801080.1,Influenza A virus,A/Aves/Guanajuato/CPA-18539-23/2023,"nasal swab, traquea swab, lung, spleen pool",Aves,,2023
PP770444.1,Influenza A virus,A/crow/Kansas/W23-968A/2023,Combined cloacal and oral-pharyngeal,Corvus sp.,,2023
PP766976.1,Influenza A virus,A/Ross's goose/Kansas/W23-949B/2023,Oral-pharyngeal,Anser rossii,,2023
PP761603.1,Influenza A virus,A/snow goose/Kansas/W23-961D/2023,Oral-pharyngeal,Anser caerulescens,,2023
PP752101.1,Influenza A virus,A/great horned owl/Kansas/W24-005/2023,Combined cloacal and oral-pharyngeal,Bubo virginianus,,2023
PP577037.1,Influenza A virus,A/Ross's goose/Kansas/W23-930J/2023,Cloacal,Anser rossii,,2023
PP576936.1,Influenza A virus,A/trumpeter swan/Kansas/W23-928/2023,Combined cloacal and oral-pharyngeal,Cygnus buccinator,,2023
PP576912.1,Influenza A virus,A/snow goose/Kansas/W23-930E/2023,Oral-pharyngeal,Anser caerulescens,,2023
PP576836.1,Influenza A virus,A/snow goose/Kansas/W23-930C/2023,Oral-pharyngeal,Anser caerulescens,,2023
OQ789278.1,Influenza A virus,A/American wigeon/South Carolina/AH0195145/2021,pooled oropharyngeal/cloacal swab,American wigeon,,2021
OP221295.1,Influenza A virus,A/snow goose/Kansas/W22-199F/2022,Combined cloacal and oral-pharyngeal,Anser caerulescens,,2022
PP801759.1,Influenza A virus,A/mallard/USA/22-033369-001/2022,oropharyngeal/cloacal swab,mallard,,2022
OQ963031.1,Influenza A virus,A/Red-tailed Hawk/Missouri/22-012338-024/2022,"Swab Pool, Cloacal/Oropharyngeal",Red-tailed Hawk,,2022
PQ720100.1,Influenza A virus,A/goose/MT/22-013369-001-original/2022,Cloacal/Oropharyngeal Swab Pool,goose,,2022
PQ719860.1,Influenza A virus,A/Wood Duck/WI/22-015320-001-original/2022,Cloacal/Oropharyngeal Swab Pool,Wood Duck,,2022
PQ719852.1,Influenza A virus,A/Wood Duck/WI/22-014394-001-original/2022,Cloacal/Oropharyngeal Swab Pool,Wood Duck,,2022
PQ719364.1,Influenza A virus,A/Turkey Vulture/WI/22-012392-001-original/2022,Cloacal/Oropharyngeal Swab Pool,Turkey Vulture,,2022
PQ719124.1,Influenza A virus,A/Turkey Vulture/ND/22-013265-001-original/2022,Cloacal/Oropharyngeal Swab Pool,Turkey Vulture,,2022
PQ719020.1,Influenza A virus,A/Turkey Vulture/CO/22-013279-001-original/2022,Cloacal/Oropharyngeal Swab Pool,Turkey Vulture,,2022
PQ718228.1,Influenza A virus,A/Snow goose/ND/22-012395-001-original/2022,Cloacal/Oropharyngeal Swab Pool,Snow goose,,2022
PQ716812.1,Influenza A virus,A/Red-tailed hawk/WY/22-015516-001-original/2022,Cloacal/Tracheal Swab Pool,Red-tailed hawk,,2022
PQ716444.1,Influenza A virus,A/Red-tailed hawk/ND/22-014534-001-original/2022,Cloacal/Oropharyngeal Swab Pool,Red-tailed hawk,,2022
PQ716276.1,Influenza A virus,A/Red-tailed hawk/MN/22-014517-001-original/2022,Cloacal/Oropharyngeal Swab Pool,Red-tailed hawk,,2022
PQ716268.1,Influenza A virus,A/Red-tailed hawk/MN/22-014468-001-original/2022,tracheal swab,Red-tailed hawk,,2022
PQ716156.1,Influenza A virus,A/Red-tailed hawk/MN/22-012777-001-original/2022,Cloacal/Oropharyngeal Swab Pool,Red-tailed hawk,,2022
PQ715220.1,Influenza A virus,A/Peregrine falcon/MN/22-021121-001-original/2022,Cloacal/Oropharyngeal Swab Pool,Peregrine falcon,,2022
PQ715196.1,Influenza A virus,A/Peregrine falcon/MI/22-017243-023-original/2022,Cloacal/Tracheal Swab Pool,Peregrine falcon,,2022
PQ715076.1,Influenza A virus,A/Pelican/UT/22-015627-002-original/2022,cloacal swab,Pelican,,2022
PQ714356.1,Influenza A virus,A/Mute Swan/CA/22-023060-003-original/2022,swab,Mute Swan,,2022
PQ714116.1,Influenza A virus,A/Mallard/WA/22-025687-001-original/2022,tracheal swab,Mallard,,2022
PQ713084.1,Influenza A virus,A/Mallard/CA/22-025261-002-original/2022,Cloacal/Oropharyngeal Swab Pool,Mallard,,2022
PQ713076.1,Influenza A virus,A/Mallard/CA/22-025261-001-original/2022,Cloacal/Oropharyngeal Swab Pool,Mallard,,2022
PQ712804.1,Influenza A virus,A/Hooded Merganser/MN/22-013435-001-original/2022,Cloacal/Oropharyngeal Swab Pool,Hooded Merganser,,2022
PQ712460.1,Influenza A virus,A/Hawk/MT/22-026892-002-original/2022,cloacal swab,Hawk,,2022
PQ712036.1,Influenza A virus,A/Great horned owl/WY/22-014004-002-original/2022,cloacal swab,Great horned owl,,2022
PQ712004.1,Influenza A virus,A/Great horned owl/WY/22-013534-001-original/2022,cloacal swab,Great horned owl,,2022
PQ711828.1,Influenza A virus,A/Great horned owl/UT/22-014483-001-original/2022,cloacal swab,Great horned owl,,2022
PQ711788.1,Influenza A virus,A/Great horned owl/SD/22-015324-005-original/2022,Cloacal/Oropharyngeal Swab Pool,Great horned owl,,2022
PQ711692.1,Influenza A virus,A/Great horned owl/NV/22-023550-001-original/2022,oral swab,Great horned owl,,2022
PQ711612.1,Influenza A virus,A/Great horned owl/MT/22-018474-001-original/2022,cloacal swab,Great horned owl,,2022
PQ711460.1,Influenza A virus,A/Great horned owl/MN/22-014469-003-original/2022,cloacal swab,Great horned owl,,2022
PQ711188.1,Influenza A virus,A/Great horned owl/MA/22-036181-003-original/2022,swab,Great horned owl,,2022
PQ710764.1,Influenza A virus,A/Great blue heron/OR/22-020610-001-original/2022,Cloacal/Oropharyngeal Swab Pool,Great blue heron,,2022
PQ709948.1,Influenza A virus,A/Eagle/MN/22-018088-001-original/2022,Cloacal/Oropharyngeal Swab Pool,Eagle,,2022
PQ709500.1,Influenza A virus,A/Common loon/MN/22-013396-001-original/2022,tracheal swab,Common loon,,2022
PQ709276.1,Influenza A virus,A/Caspian tern/WA/22-024503-001-original/2022,Cloacal/Oropharyngeal Swab Pool,Caspian tern,,2022
PQ709252.1,Influenza A virus,A/Caspian tern/MI/22-026129-002-original/2022,Cloacal/Tracheal Swab Pool,Caspian tern,,2022
PQ709052.1,Influenza A virus,A/Canada goose/WA/22-018405-001-original/2022,Cloacal/Oropharyngeal Swab Pool,Canada goose,,2022
PQ708900.1,Influenza A virus,A/Canada goose/VT/22-013321-004-original/2022,Cloacal/Oropharyngeal Swab Pool,Canada goose,,2022
PQ708636.1,Influenza A virus,A/Canada goose/OR/22-025279-001-original/2022,Cloacal/Oropharyngeal Swab Pool,Canada goose,,2022
PQ708612.1,Influenza A virus,A/Canada goose/OR/22-021071-001-original/2022,Cloacal/Oropharyngeal Swab Pool,Canada goose,,2022
PQ708596.1,Influenza A virus,A/Canada goose/OR/22-019901-001-original/2022,Cloacal/Oropharyngeal Swab Pool,Canada goose,,2022
PQ708588.1,Influenza A virus,A/Canada goose/OR/22-018477-001-original/2022,Cloacal/Oropharyngeal Swab Pool,Canada goose,,2022
PQ707796.1,Influenza A virus,A/Canada goose/ID/22-014968-004-original/2022,Cloacal/Tracheal Swab Pool,Canada goose,,2022
PQ707524.1,Influenza A virus,A/Canada goose/CO/22-031162-001-original-repeat/2022,Cloacal/Oropharyngeal Swab Pool,Canada goose,,2022
PQ707388.1,Influenza A virus,A/Canada goose/CA/22-032576-001-original/2022,Cloacal/Oropharyngeal Swab Pool,Canada goose,,2022
PQ706796.1,Influenza A virus,A/Bufflehead/WA/22-036619-001-original/2022,Cloacal/Oropharyngeal Swab Pool,Bufflehead,,2022
PQ703956.1,Influenza A virus,A/Black Vulture/FL/22-015791-001-original/2022,Cloacal/Oropharyngeal Swab Pool,Black Vulture,,2022
PQ703556.1,Influenza A virus,A/Bald eagle/WI/22-014649-001-original/2022,cloacal swab,Bald eagle,,2022
PQ703500.1,Influenza A virus,A/Bald eagle/WA/22-028132-001-original/2022,Cloacal/Oropharyngeal Swab Pool,Bald eagle,,2022
PQ703492.1,Influenza A virus,A/Bald eagle/WA/22-027600-001-original/2022,swab,Bald eagle,,2022
PQ703332.1,Influenza A virus,A/Bald eagle/OR/22-022964-001-original/2022,Cloacal/Oropharyngeal Swab Pool,Bald eagle,,2022
PQ703188.1,Influenza A virus,A/Bald eagle/MT/22-021498-001-original/2022,cloacal swab,Bald eagle,,2022
PQ703076.1,Influenza A virus,A/Bald eagle/MN/22-013663-007-original/2022,Cloacal/Oropharyngeal Swab Pool,Bald eagle,,2022
PQ702844.1,Influenza A virus,A/Bald eagle/MI/22-015054-011-original/2022,Cloacal/Oropharyngeal Swab Pool,Bald eagle,,2022
PQ702804.1,Influenza A virus,A/Bald eagle/MI/22-015054-004-original/2022,Cloacal/Oropharyngeal Swab Pool,Bald eagle,,2022
PQ702708.1,Influenza A virus,A/Bald eagle/IA/22-013558-001-original/2022,tracheal swab,Bald eagle,,2022
PQ702684.1,Influenza A virus,A/Bald eagle/FL/22-013493-003-original/2022,Cloacal/Tracheal Swab Pool,Bald eagle,,2022
PQ701236.1,Influenza A virus,A/American Blue-winged teal/MN/22-029882-004-original/2022,Virus Isolate,American Blue-winged teal,,2022
PP802601.1,Influenza A virus,A/mallard/USA/22-036139-030/2022,oropharyngeal/cloacal swab,mallard,,2022
PP802169.1,Influenza A virus,A/bald eagle/USA/22-023552-001/2022,oropharyngeal/cloacal swab,bald eagle,,2022
PP802153.1,Influenza A virus,A/bald eagle/USA/22-016934-003/2022,oropharyngeal/cloacal swab,bald eagle,,2022
PP802089.1,Influenza A virus,A/bald eagle/USA/22-014969-001/2022,oropharyngeal/cloacal swab,bald eagle,,2022
PP801694.1,Influenza A virus,A/northern pintail/USA/22-028247-007/2022,oropharyngeal/cloacal swab,northern pintail,,2022
PP801595.1,Influenza A virus,A/Canada goose/USA/22-015683-001/2022,oropharyngeal/cloacal swab,Canada goose,,2022
PP801581.1,Influenza A virus,A/Canada goose/USA/22-014432-001/2022,oropharyngeal/cloacal swab,Canada goose,,2022
OQ968007.1,Influenza A virus,A/chicken/Wisconsin/22-007545-005/2022,"Swab, Oropharyngeal",chicken,,2022
OQ967975.1,Influenza A virus,A/chicken/Utah/22-011468-002/2022,"Swab, Tracheal",chicken,,2022
OQ967623.1,Influenza A virus,A/chicken/Missouri/22-006569-001/2022,"Swab, Tracheal",chicken,,2022
OQ967407.1,Influenza A virus,A/chicken/Maryland/22-006578-001/2022,"Swab, Oral",chicken,,2022
OQ967231.1,Influenza A virus,A/chicken/Idaho/22-011336-001/2022,"Swab, Tracheal",chicken,,2022
OQ967199.1,Influenza A virus,A/chicken/Delaware/22-006945-004/2022,"Swab, Oral",chicken,,2022
OQ966911.1,Influenza A virus,A/Wild Turkey/Wyoming/22-011426-006/2022,"Swab, Oropharyngeal",Wild Turkey,,2022
OQ966871.1,Influenza A virus,A/Wild Turkey/Montana/22-012657-001/2022,"Swab, Tracheal",Wild Turkey,,2022
OQ966695.1,Influenza A virus,A/Turkey/South Dakota/22-010346-001/2022,swab,turkey,,2022
OQ966623.1,Influenza A virus,A/Turkey/South Dakota/22-010135-001/2022,swab,turkey,,2022
OQ966607.1,Influenza A virus,A/Turkey/South Dakota/22-010013-001/2022,swab,turkey,,2022
OQ966599.1,Influenza A virus,A/Turkey/South Dakota/22-009980-001/2022,swab,turkey,,2022
OQ966527.1,Influenza A virus,A/Turkey/South Dakota/22-009330-001/2022,swab,turkey,,2022
OQ966447.1,Influenza A virus,A/Turkey/South Dakota/22-008866-001/2022,swab,turkey,,2022
OQ966423.1,Influenza A virus,A/Turkey/South Dakota/22-008702-001/2022,swab,turkey,,2022
OQ966343.1,Influenza A virus,A/Turkey/South Dakota/22-006792-001/2022,"Swab, Tracheal",turkey,,2022
OQ966167.1,Influenza A virus,A/Turkey/Missouri/22-010142-001/2022,swab,turkey,,2022
OQ966151.1,Influenza A virus,A/Turkey/Missouri/22-007087-001/2022,swab,turkey,,2022
OQ965863.1,Influenza A virus,A/Turkey/Minnesota/22-011141-001/2022,swab,turkey,,2022
OQ965831.1,Influenza A virus,A/Turkey/Minnesota/22-010995-001/2022,swab,turkey,,2022
OQ965815.1,Influenza A virus,A/Turkey/Minnesota/22-010991-001/2022,swab,turkey,,2022
OQ965671.1,Influenza A virus,A/Turkey/Minnesota/22-010124-001/2022,swab,turkey,,2022
OQ965639.1,Influenza A virus,A/Turkey/Minnesota/22-010122-001/2022,swab,turkey,,2022
OQ965567.1,Influenza A virus,A/Turkey/Minnesota/22-009997-001/2022,swab,turkey,,2022
OQ965559.1,Influenza A virus,A/Turkey/Minnesota/22-009996-001/2022,swab,turkey,,2022
OQ965535.1,Influenza A virus,A/Turkey/Minnesota/22-009314-002/2022,swab,turkey,,2022
OQ965511.1,Influenza A virus,A/Turkey/Minnesota/22-009313-001/2022,swab,turkey,,2022
OQ965455.1,Influenza A virus,A/Turkey/Kentucky/22-004546-001/2022,swab,turkey,,2022
OQ965383.1,Influenza A virus,A/Turkey/Iowa/22-009986-001/2022,"Swab, Oropharyngeal",turkey,,2022
OQ965271.1,Influenza A virus,A/Turkey/Indiana/22-005328-001/2022,"Swab, Oropharyngeal",turkey,,2022
OQ965167.1,Influenza A virus,A/Tundra Swan/Michigan/22-011517-010/2022,"Swab Pool, Cloacal/Tracheal",Tundra Swan,,2022
OR136607.1,Influenza A virus,A/chicken/OH/OH22-7075/2022,Oropharyngeal Swab,Chicken; Gallus gallus domesticus,,2022
OR136519.1,Influenza A virus,A/Bald Eagle/OH/OH22-8477/2023,cloacal swab,Bald Eagle; Haliaeetus leucocephalus,,2023
