Accession,Organism,Strain,Isolation_Source,Host,Country,Collection_Year
PV161596.1,Influenza A virus,A/chicken/CA/24-038445-001-original/2024,Oropharyngeal Swab,chicken,,2024
PV161452.1,Influenza A virus,A/chicken/AR/25-000084-002-original/2024,Oropharyngeal Swab,chicken,,2024
PV161444.1,Influenza A virus,A/chicken/AR/24-038821-003-original/2024,Oropharyngeal Swab,chicken,,2024
PV160036.1,Influenza A virus,A/Turkey/OK/24-038440-005-original/2024,Oropharyngeal Swab,turkey,,2024
PV159716.1,Influenza A virus,A/Pheasant/CA/25-000138-005-original/2024,cloacal swab,Pheasant,,2024
PV159684.1,Influenza A virus,A/Pheasant/CA/25-000138-001-original/2024,cloacal swab,Pheasant,,2024
PV159660.1,Influenza A virus,A/Mountain Lion/WA/24-037533-002-original/2024,brain,Mountain Lion,,2024
PV159564.1,Influenza A virus,A/Duck/TX/25-000377-001-original/2025,swab,duck,,2025
PV159404.1,Influenza A virus,A/Duck/CA/24-035912-001-original-repeat2/2024,cloacal swab,duck,,2024
PV159348.1,Influenza A virus,A/Bobcat/CO/24-038835-001-original/2024,brain,Bobcat,,2024
PV060478.1,Influenza A virus,A/chicken/AR/24-037007-001-original/2024,Oropharyngeal Swab,chicken,,2024
PV060150.1,Influenza A virus,A/Turkey/WI/24-037154-001-original/2024,tracheal swab,turkey,,2024
PV059862.1,Influenza A virus,A/Duck/CA/24-035869-001-original-repeat/2024,Oropharyngeal Swab,duck,,2024
PQ844115.1,Influenza A virus,A/chicken/UT/24-034635-001-original/2024,tracheal swab,chicken,,2024
PQ843995.1,Influenza A virus,A/chicken/AK/24-034057-002-original/2024,Oropharyngeal Swab,chicken,,2024
PQ798062.1,Influenza A virus,A/goose/OR/24-032167-001-original/2024,cloacal swab,goose,,2024
PV572230.1,Influenza A virus,A/Turkey/IL/25-008583-001-original/2025,Oropharyngeal Swab,turkey,,2025
PQ109708.1,Influenza A virus,A/goose/CO/23-038138-001-original/2023,Cloacal/Oropharyngeal Swab Pool,goose,,2023
PQ373708.1,Influenza A virus,A/cattle/Idaho/Broad_ME_023/2024,retail milk,cattle,,2024
PQ373748.2,Influenza A virus,A/cattle/Colorado/Broad_MF_014/2024,retail milk,cattle,,2024
OQ789272.1,Influenza A virus,A/American wigeon/South Carolina/AH0195145/2021,pooled oropharyngeal/cloacal swab,American wigeon,,2021
OQ961169.1,Influenza A virus,A/Gadwall/South Carolina/22-001743-004/2022,"Swab, Oral",Gadwall,,2022
OQ960401.1,Influenza A virus,A/Blue-winged and Cinnamon Teal/South Carolina/22-001743-033/2022,"Swab, Oral",Blue-winged and Cinnamon Teal,,2022
OQ958033.1,Influenza A virus,A/American Wigeon/North Carolina/22-003439-003/2022,"Swab Pool, Cloacal/Oropharyngeal",American Wigeon,,2022
OQ958025.1,Influenza A virus,A/American Wigeon/North Carolina/22-003150-006/2022,"Swab Pool, Cloacal/Oropharyngeal",American Wigeon,,2022
OQ957985.1,Influenza A virus,A/American Wigeon/North Carolina/22-001330-030/2022,"Swab Pool, Cloacal/Oropharyngeal",American Wigeon,,2022
OQ957953.1,Influenza A virus,A/American Wigeon/North Carolina/22-001330-025/2022,"Swab Pool, Cloacal/Oropharyngeal",American Wigeon,,2022
OQ957945.1,Influenza A virus,A/American Wigeon/North Carolina/22-001330-024/2022,"Swab Pool, Cloacal/Oropharyngeal",American Wigeon,,2022
OQ957937.1,Influenza A virus,A/American Wigeon/North Carolina/22-001330-023/2022,"Swab Pool, Cloacal/Oropharyngeal",American Wigeon,,2022
OQ957913.1,Influenza A virus,A/American Wigeon/North Carolina/22-001330-017/2022,"Swab Pool, Cloacal/Oropharyngeal",American Wigeon,,2022
OQ957905.1,Influenza A virus,A/American Wigeon/North Carolina/22-001330-015/2022,"Swab Pool, Cloacal/Oropharyngeal",American Wigeon,,2022
OQ957889.1,Influenza A virus,A/American Wigeon/North Carolina/22-001330-011/2022,"Swab Pool, Cloacal/Oropharyngeal",American Wigeon,,2022
OQ957873.1,Influenza A virus,A/American Wigeon/North Carolina/22-001330-001/2022,"Swab Pool, Cloacal/Oropharyngeal",American Wigeon,,2022
OP377427.1,Influenza A virus,A/gull/Florida/W22-162/2022,Oral-pharyngeal,Larus sp.,,2022
OQ959593.1,Influenza A virus,A/Bald Eagle/North Carolina/22-009805-002/2022,"Swab Pool, Cloacal/Oropharyngeal",Bald Eagle,,2022
OQ962409.1,Influenza A virus,A/Mallard/North Carolina/22-004008-010/2022,"Swab Pool, Cloacal/Oropharyngeal",Mallard,,2022
PQ703606.1,Influenza A virus,A/Bald eagle/WI/22-019204-001-original/2022,Cloacal/Tracheal Swab Pool,Bald eagle,,2022
OQ967769.1,Influenza A virus,A/chicken/North Carolina/22-010929-001/2022,swab,chicken,,2022
OQ967761.1,Influenza A virus,A/chicken/North Carolina/22-010299-002/2022,swab,chicken,,2022
OQ967745.1,Influenza A virus,A/chicken/North Carolina/22-010298-001/2022,swab,chicken,,2022
OQ966265.1,Influenza A virus,A/Turkey/North Carolina/22-010146-001/2022,swab,turkey,,2022
OQ963721.1,Influenza A virus,A/Royal Tern/Florida/22-010506-001/2022,"Swab Pool, Cloacal/Oropharyngeal",Royal Tern,,2022
OQ962817.1,Influenza A virus,A/Red-shouldered Hawk/Delaware/22-004621-001/2022,"Swab Pool, Cloacal/Oropharyngeal",Red-shouldered Hawk,,2022
OQ962713.1,Influenza A virus,A/Parrot/Michigan/22-010848-002/2022,"Swab, Oropharyngeal",Parrot,,2022
OQ962553.1,Influenza A virus,A/Merganser/Pennsylvania/22-008909-005/2022,"Swab, Cloacal",Merganser,,2022
OQ962545.1,Influenza A virus,A/Merganser/Pennsylvania/22-008909-004/2022,"Swab, Cloacal",Merganser,,2022
OQ962537.1,Influenza A virus,A/Merganser/Pennsylvania/22-008909-003/2022,"Swab, Cloacal",Merganser,,2022
OQ962529.1,Influenza A virus,A/Merganser/Pennsylvania/22-008909-001/2022,"Swab, Cloacal",Merganser,,2022
OQ962049.1,Influenza A virus,A/Lesser Scaup/Maryland/22-003098-003/2022,"Swab Pool, Cloacal/Oropharyngeal",Lesser Scaup,,2022
OQ961745.1,Influenza A virus,A/Green-winged Teal/Virginia/22-002768-003/2022,"Swab Pool, Cloacal/Oropharyngeal",Green-winged Teal,,2022
OQ961193.1,Influenza A virus,A/Gadwall/Virginia/22-003923-001/2022,"Swab Pool, Cloacal/Oropharyngeal",Gadwall,,2022
OQ961161.1,Influenza A virus,A/Gadwall/South Carolina/22-001743-003/2022,"Swab, Oral",Gadwall,,2022
OQ960385.1,Influenza A virus,A/Blue-winged Teal/Florida/22-002578-009/2022,"Swab Pool, Cloacal/Oropharyngeal",Blue-winged Teal,,2022
OQ960121.1,Influenza A virus,A/Black Vulture/Florida/22-009936-001/2022,"Swab Pool, Cloacal/Tracheal",Black Vulture,,2022
OQ959697.1,Influenza A virus,A/Bald Eagle/Pennsylvania/22-008745-001/2022,"Swab Pool, Cloacal/Tracheal",Bald Eagle,,2022
OQ958905.1,Influenza A virus,A/Backyard bird/Virginia/22-004415-001/2022,"Swab, Tracheal",Backyard bird,,2022
OQ958825.1,Influenza A virus,A/Backyard bird/North Carolina/22-009583-001/2022,swab,Backyard bird,,2022
OQ958777.1,Influenza A virus,A/Backyard bird/New York/22-009324-009/2022,"Swab, Oropharyngeal",Backyard bird,,2022
OQ958769.1,Influenza A virus,A/Backyard bird/New York/22-009324-002/2022,"Swab, Oropharyngeal",Backyard bird,,2022
OQ957969.1,Influenza A virus,A/American Wigeon/North Carolina/22-001330-028/2022,"Swab Pool, Cloacal/Oropharyngeal",American Wigeon,,2022
OQ957961.1,Influenza A virus,A/American Wigeon/North Carolina/22-001330-027/2022,"Swab Pool, Cloacal/Oropharyngeal",American Wigeon,,2022
OQ957921.1,Influenza A virus,A/American Wigeon/North Carolina/22-001330-018/2022,"Swab Pool, Cloacal/Oropharyngeal",American Wigeon,,2022
OQ957865.1,Influenza A virus,A/American Wigeon/North Carolina/22-001329-001/2022,"Swab Pool, Cloacal/Oropharyngeal",American Wigeon,,2022
OQ957849.1,Influenza A virus,A/American Wigeon/Delaware/22-003358-008/2022,"Swab Pool, Cloacal/Oropharyngeal",American Wigeon,,2022
OP499858.1,Influenza A virus,A/Lesser scaup/MD/-LC-EESC-024/2022,,Aythya affinis,,2022
OP377621.1,Influenza A virus,A/royal tern/Florida/W22-245A/2022,Combined cloacal and oral-pharyngeal,Thalasseus maximus,,2022
PQ709814.1,Influenza A virus,A/Double-crested Cormorant/WI/22-030264-001-original/2022,Virus Isolate,Double-crested Cormorant,,2022
PQ702814.1,Influenza A virus,A/Bald eagle/MI/22-015054-006-original/2022,Cloacal/Oropharyngeal Swab Pool,Bald eagle,,2022
OQ965161.1,Influenza A virus,A/Tundra Swan/Michigan/22-011517-010/2022,"Swab Pool, Cloacal/Tracheal",Tundra Swan,,2022
OQ965097.1,Influenza A virus,A/Snowy Owl/New York/22-008969-001/2022,"Swab, Oropharyngeal",Snowy Owl,,2022
OQ964913.1,Influenza A virus,A/Snow Goose/South Dakota/22-009478-003/2022,"Swab Pool, Cloacal/Oropharyngeal",Snow Goose,,2022
OQ962689.1,Influenza A virus,A/Northern Shoveler/North Carolina/22-003831-019/2022,"Swab Pool, Cloacal/Oropharyngeal",Northern Shoveler,,2022
OQ962665.1,Influenza A virus,A/Northern Pintail/North Carolina/22-001330-008/2022,"Swab Pool, Cloacal/Oropharyngeal",Northern Pintail,,2022
OQ962361.1,Influenza A virus,A/Mallard/New Jersey/22-005110-004/2022,"Swab Pool, Cloacal/Oropharyngeal",Mallard,,2022
OQ962353.1,Influenza A virus,A/Mallard/New Jersey/22-005110-003/2022,"Swab Pool, Cloacal/Oropharyngeal",Mallard,,2022
OQ961713.1,Influenza A virus,A/Green-winged Teal/North Carolina/22-003830-004/2022,"Swab Pool, Cloacal/Oropharyngeal",Green-winged Teal,,2022
OQ961705.1,Influenza A virus,A/Green-winged Teal/North Carolina/22-003830-003/2022,"Swab Pool, Cloacal/Oropharyngeal",Green-winged Teal,,2022
OQ961681.1,Influenza A virus,A/Green-winged Teal/North Carolina/22-001673-001/2022,"Swab Pool, Cloacal/Oropharyngeal",Green-winged Teal,,2022
OQ961121.1,Influenza A virus,A/Gadwall/North Carolina/22-001672-002/2022,"Swab Pool, Cloacal/Oropharyngeal",Gadwall,,2022
OQ961105.1,Influenza A virus,A/Gadwall/North Carolina/22-001330-021/2022,"Swab Pool, Cloacal/Oropharyngeal",Gadwall,,2022
OQ961065.1,Influenza A virus,A/Fish Crow/New York/22-010487-001/2022,"Swab, Oropharyngeal",Fish Crow,,2022
OQ961049.1,Influenza A virus,A/Duck/Pennsylvania/22-013189-004/2022,swab,duck,,2022
OQ961041.1,Influenza A virus,A/Duck/Pennsylvania/22-013189-003/2022,swab,duck,,2022
OQ960633.1,Influenza A virus,A/Canada Goose/New Hampshire/22-006203-002/2022,"Swab, Tracheal",Canada Goose,,2022
OQ960417.1,Influenza A virus,A/Brown Pelican/North Carolina/22-007917-001/2022,"Swab, Oral",Brown Pelican,,2022
OQ960409.1,Influenza A virus,A/Brown Pelican/Florida/22-007313-001/2022,"Swab Pool, Cloacal/Tracheal",Brown Pelican,,2022
OQ959737.1,Influenza A virus,A/Bald Eagle/South Carolina/22-007918-002/2022,"Swab Pool, Cloacal/Oropharyngeal",Bald Eagle,,2022
OQ959729.1,Influenza A virus,A/Bald Eagle/South Carolina/22-007918-001/2022,"Swab, Cloacal",Bald Eagle,,2022
OQ958761.1,Influenza A virus,A/Backyard bird/New York/22-005647-002/2022,"Swab, Oropharyngeal",Backyard bird,,2022
OQ958665.1,Influenza A virus,A/Backyard bird/Missouri/22-007677-001/2022,"Swab, Oropharyngeal",Backyard bird,,2022
OQ958657.1,Influenza A virus,A/Backyard bird/Missouri/22-006639-001/2022,"Swab, Oropharyngeal",Backyard bird,,2022
OQ958273.1,Influenza A virus,A/Backyard bird/Maine/22-007582-001/2022,"Swab, Oropharyngeal",Backyard bird,,2022
OQ958265.1,Influenza A virus,A/Backyard bird/Maine/22-007410-002/2022,swab,Backyard bird,,2022
OQ958257.1,Influenza A virus,A/Backyard bird/Maine/22-007410-001/2022,swab,Backyard bird,,2022
OQ958249.1,Influenza A virus,A/Backyard bird/Maine/22-005443-001/2022,"Swab, Oropharyngeal",Backyard bird,,2022
OQ958105.1,Influenza A virus,A/Backyard bird/Connecticut/22-006118-001/2022,"Swab Pool, Cloacal/Tracheal",Backyard bird,,2022
OQ958049.1,Influenza A virus,A/American Wigeon/South Carolina/22-001743-011/2022,"Swab, Oral",American Wigeon,,2022
OQ958001.1,Influenza A virus,A/American Wigeon/North Carolina/22-001672-001/2022,"Swab Pool, Cloacal/Oropharyngeal",American Wigeon,,2022
OQ957929.1,Influenza A virus,A/American Wigeon/North Carolina/22-001330-019/2022,"Swab Pool, Cloacal/Oropharyngeal",American Wigeon,,2022
OQ957897.1,Influenza A virus,A/American Wigeon/North Carolina/22-001330-012/2022,"Swab Pool, Cloacal/Oropharyngeal",American Wigeon,,2022
OQ957881.1,Influenza A virus,A/American Wigeon/North Carolina/22-001330-009/2022,"Swab Pool, Cloacal/Oropharyngeal",American Wigeon,,2022
OQ957841.1,Influenza A virus,A/American Wigeon/Alabama/22-004941-003/2022,"Swab Pool, Cloacal/Oropharyngeal",American Wigeon,,2022
OQ957785.1,Influenza A virus,A/American Green-winged Teal/Tennessee/22-005910-002/2022,"Swab Pool, Cloacal/Oropharyngeal",American Green-winged Teal,,2022
OQ957657.1,Influenza A virus,A/American Black Duck/Ohio/22-009209-007/2022,"Swab Pool, Cloacal/Oropharyngeal",American Black Duck,,2022
OQ957649.1,Influenza A virus,A/American Black Duck/Ohio/22-009205-010/2022,"Swab Pool, Cloacal/Oropharyngeal",American Black Duck,,2022
OQ957609.1,Influenza A virus,A/American Black Duck/Connecticut/22-005000-001/2022,"Swab Pool, Cloacal/Oropharyngeal",American Black Duck,,2022
OR421098.1,Influenza A virus,A/mallard duck/Tennessee/TN22-278/2022,Combined cloacal and oral-pharyngeal,Anas platyrhynchos,,2022
OP470796.1,Influenza A virus,A/snow goose/Kentucky/W22-092/2022,,Anser caerulescens,,2022
OP377613.1,Influenza A virus,A/brown pelican/North Carolina/W22-164/2022,Oral-pharyngeal,Pelecanus occidentalis,,2022
PV213260.1,Influenza A virus,A/chicken/PA/22-015201-003-original/2022,swab,chicken,,2022
PQ712846.1,Influenza A virus,A/Horned grebe/WY/22-017774-001-original/2022,tracheal swab,Horned grebe,,2022
PQ711174.1,Influenza A virus,A/Great horned owl/MA/22-006976-009-original/2022,swab,Great horned owl,,2022
PQ703254.1,Influenza A virus,A/Bald eagle/NY/22-017570-001-original/2022,Cloacal/Oropharyngeal Swab Pool,Bald eagle,,2022
PQ702422.1,Influenza A virus,A/American wigeon/TN/22-024871-013-original/2022,Virus Isolate,American wigeon,,2022
OQ968057.1,Influenza A virus,A/goose/Missouri/22-012338-006/2022,"Swab, Tracheal",goose,,2022
OQ967849.1,Influenza A virus,A/chicken/Pennsylvania/22-011531-001/2022,"Swab, Oropharyngeal",chicken,,2022
OQ967713.1,Influenza A virus,A/chicken/Nebraska/22-008467-001/2022,"Swab, Oropharyngeal",chicken,,2022
OQ967329.1,Influenza A virus,A/chicken/Iowa/22-009180-001/2022,"Swab, Oropharyngeal",chicken,,2022
OQ967265.1,Influenza A virus,A/chicken/Iowa/22-007376-001/2022,"Swab, Oropharyngeal",chicken,,2022
OQ967161.1,Influenza A virus,A/chicken/Delaware/22-005260-001/2022,"Swab, Oropharyngeal",chicken,,2022
