Accession,Character,Source
EPI2943401,Q,Sphenisciformes
EPI2235552,M,mammal
EPI2873407,4,Aves
EPI3418698,6,Artiodactyla
EPI2931698,A,Galliformes
EPI284491,4,Aves
EPI1963905,2,Anseriformes
EPI2691609,4,Aves
EPI3307015,4,Aves
EPI2071352,A,Galliformes
EPI3304488,4,Aves
EPI2497097,4,Aves
EPI2156469,A,Galliformes
EPI3584546,5,Charadriiformes
EPI2648191,5,Charadriiformes
EPI3446639,6,Artiodactyla
EPI2576534,5,Charadriiformes
EPI2082829,5,Charadriiformes
EPI2278257,4,Aves
EPI2856821,4,Aves
EPI2577980,5,Charadriiformes
EPI2109915,4,Aves
EPI3506810,6,Artiodactyla
EPI2887175,2,Anseriformes
EPI2943489,Q,Sphenisciformes
EPI3625890,4,Aves
EPI2428102,4,Aves
EPI3441829,6,Artiodactyla
EPI3308912,4,Aves
EPI2140669,A,Galliformes
EPI2555811,2,Anseriformes
EPI1943845,A,Galliformes
EPI2550307,A,Galliformes
EPI2139784,A,Galliformes
EPI2074804,4,Aves
EPI3280425,2,Anseriformes
EPI2310508,H,Falconiformes
EPI2198172,A,Galliformes
EPI2026148,A,Galliformes
EPI2603780,5,Charadriiformes
EPI2428486,4,Aves
EPI2014069,4,Aves
EPI3093279,2,Anseriformes
EPI3314234,4,Aves
EPI2408598,A,Galliformes
EPI2141779,4,Aves
EPI2260710,4,Aves
EPI3305320,4,Aves
EPI3304376,4,Aves
EPI2429039,4,Aves
EPI2200574,4,Aves
EPI3323754,8,Carnivora
EPI2576526,5,Charadriiformes
EPI3630781,6,Artiodactyla
EPI2613918,4,Aves
EPI2702707,2,Anseriformes
EPI2179228,4,Aves
EPI2074652,4,Aves
EPI2702402,2,Anseriformes
EPI2667800,4,Aves
EPI3462438,6,Artiodactyla
EPI3307467,4,Aves
EPI2710028,2,Anseriformes
EPI2437350,A,Galliformes
EPI2751108,A,Galliformes
EPI2260774,4,Aves
EPI3323393,0,Accipitriformes
EPI2264299,4,Aves
EPI2578036,5,Charadriiformes
EPI3143380,4,Aves
EPI1922941,2,Anseriformes
EPI2311527,0,Accipitriformes
EPI2222198,2,Anseriformes
EPI2215020,2,Anseriformes
EPI2071560,2,Anseriformes
EPI2026058,2,Anseriformes
EPI2784302,4,Aves
EPI2751952,A,Galliformes
EPI3312474,4,Aves
EPI1945187,A,Galliformes
EPI3310380,4,Aves
EPI3509783,4,Aves
EPI3527057,4,Aves
EPI2751820,A,Galliformes
EPI2259447,4,Aves
EPI2637529,4,Aves
EPI2603808,4,Aves
EPI3299060,4,Aves
EPI2296773,A,Galliformes
EPI3303872,4,Aves
EPI2886262,A,Galliformes
EPI3409157,6,Artiodactyla
EPI2613710,4,Aves
EPI2100255,2,Anseriformes
EPI2071744,A,Galliformes
EPI2140999,4,Aves
EPI2886313,D,Corvidae
EPI2181312,A,Galliformes
EPI2560295,A,Galliformes
EPI2071320,A,Galliformes
EPI1944413,A,Galliformes
EPI2857022,4,Aves
EPI2408614,2,Anseriformes
EPI2885441,A,Galliformes
EPI2306621,A,Galliformes
EPI3324135,2,Anseriformes
EPI2310412,5,Charadriiformes
EPI2703664,2,Anseriformes
EPI2609290,4,Aves
EPI2751140,A,Galliformes
EPI3297812,A,Galliformes
EPI2560055,2,Anseriformes
EPI2606363,A,Galliformes
EPI3544030,4,Aves
EPI3093159,2,Anseriformes
EPI3599515,6,Artiodactyla
EPI2258863,4,Aves
EPI3605031,4,Aves
EPI2259279,4,Aves
EPI2279750,2,Anseriformes
EPI2703385,2,Anseriformes
EPI2258575,4,Aves
EPI2703416,2,Anseriformes
EPI2069030,4,Aves
EPI2129756,4,Aves
EPI3310460,4,Aves
EPI2071736,2,Anseriformes
EPI2587224,4,Aves
EPI2311575,4,Aves
EPI3315512,4,Aves
EPI2886377,0,Accipitriformes
EPI3410028,6,Artiodactyla
EPI2857007,4,Aves
EPI2616112,4,Aves
EPI3312370,4,Aves
EPI3609503,4,Aves
EPI3410939,6,Artiodactyla
EPI2428691,4,Aves
EPI3358489,4,Aves
EPI2759288,5,Charadriiformes
EPI1962984,A,Galliformes
EPI2129824,5,Charadriiformes
EPI2021903,2,Anseriformes
EPI3182745,4,Aves
EPI3487803,6,Artiodactyla
EPI2648236,2,Anseriformes
EPI3305112,4,Aves
EPI3010423,4,Aves
EPI2665355,4,Aves
EPI3309208,4,Aves
EPI2648162,2,Anseriformes
EPI2721997,4,Aves
EPI2904460,4,Aves
EPI2029898,2,Anseriformes
EPI2235600,M,mammal
EPI2671456,5,Charadriiformes
EPI2704725,2,Anseriformes
EPI2352585,A,Galliformes
EPI3303706,4,Aves
EPI2220597,8,Carnivora
EPI2978048,2,Anseriformes
EPI1980868,H,Falconiformes
EPI2872894,A,Galliformes
EPI2574078,4,Aves
EPI2071728,A,Galliformes
EPI2362860,2,Anseriformes
EPI3509806,5,Charadriiformes
EPI229549,4,Aves
EPI3488411,2,Anseriformes
EPI2178155,9,Suliformes
EPI2278281,4,Aves
EPI2576141,M,mammal
EPI3311922,4,Aves
EPI2436961,Q,Sphenisciformes
EPI1924149,2,Anseriformes
EPI2697666,8,Carnivora
EPI2577996,5,Charadriiformes
EPI2779171,5,Charadriiformes
EPI2648207,2,Anseriformes
EPI2751628,A,Galliformes
EPI3226803,2,Anseriformes
EPI2780498,4,Aves
EPI3308688,4,Aves
EPI3274664,A,Galliformes
EPI3050270,2,Anseriformes
EPI3280316,2,Anseriformes
EPI2147697,2,Anseriformes
EPI2823693,F,Environment
EPI2584890,4,Aves
EPI2856670,4,Aves
EPI3528178,4,Aves
EPI2780482,4,Aves
EPI1987258,M,mammal
EPI2218151,2,Anseriformes
EPI2181328,A,Galliformes
EPI2712464,2,Anseriformes
EPI2198508,2,Anseriformes
EPI2792227,5,Charadriiformes
EPI2264099,4,Aves
EPI2188203,5,Charadriiformes
EPI3323971,2,Anseriformes
EPI3462489,6,Artiodactyla
EPI3410995,A,Galliformes
EPI3391417,2,Anseriformes
EPI2702220,2,Anseriformes
EPI3313786,4,Aves
EPI3311042,4,Aves
EPI2506100,4,Aves
EPI2072152,A,Galliformes
EPI2071664,A,Galliformes
EPI2008061,4,Aves
EPI2456425,0,Accipitriformes
EPI2109859,4,Aves
EPI2509867,4,Aves
EPI2703478,2,Anseriformes
EPI2278089,4,Aves
EPI2278193,4,Aves
EPI2704993,4,Aves
EPI3526993,4,Aves
EPI3307127,4,Aves
EPI3310516,4,Aves
EPI2133478,4,Aves
EPI2198436,A,Galliformes
EPI2246680,4,Aves
EPI3312578,4,Aves
EPI1945084,4,Aves
EPI2428164,4,Aves
EPI2071048,2,Anseriformes
EPI2300485,A,Galliformes
EPI3310260,4,Aves
EPI2131320,A,Galliformes
EPI2872679,A,Galliformes
EPI3621220,J,Primates
EPI3591633,J,Primates
EPI2855894,4,Aves
EPI2071464,A,Galliformes
EPI2067051,4,Aves
EPI2325507,2,Anseriformes
EPI3484676,4,Aves
EPI2931818,A,Galliformes
EPI2544024,0,Accipitriformes
EPI3609613,A,Galliformes
EPI2780442,4,Aves
EPI3309032,4,Aves
EPI2147718,2,Anseriformes
EPI2782592,4,Aves
EPI2648229,5,Charadriiformes
EPI1957814,2,Anseriformes
EPI3571238,6,Artiodactyla
EPI3447871,4,Aves
EPI3605369,4,Aves
EPI2666815,4,Aves
EPI2246792,4,Aves
EPI1930099,2,Anseriformes
EPI3605497,4,Aves
EPI2791117,2,Anseriformes
EPI2745258,4,Aves
EPI2506972,4,Aves
EPI2578020,5,Charadriiformes
EPI3604767,4,Aves
EPI2085767,H,Falconiformes
EPI2751884,A,Galliformes
EPI3179871,4,Aves
EPI2220282,A,Galliformes
EPI3298924,4,Aves
EPI2856957,4,Aves
EPI3493916,4,Aves
EPI2141277,A,Galliformes
EPI2277833,A,Galliformes
EPI3333386,4,Aves
EPI2300515,2,Anseriformes
EPI3410644,A,Galliformes
EPI2872823,A,Galliformes
EPI2670305,4,Aves
EPI2332833,0,Accipitriformes
EPI3395188,4,Aves
EPI2088982,4,Aves
EPI3604150,6,Artiodactyla
EPI3304656,4,Aves
EPI3484700,4,Aves
EPI3312450,4,Aves
EPI2191061,4,Aves
EPI2139896,A,Galliformes
EPI2455161,4,Aves
EPI3050246,2,Anseriformes
EPI3314952,4,Aves
EPI3599861,A,Galliformes
EPI2455153,A,Galliformes
EPI2233130,2,Anseriformes
EPI2742899,4,Aves
EPI2709056,4,Aves
EPI2639843,4,Aves
EPI2540664,4,Aves
EPI2009943,A,Galliformes
EPI2428762,4,Aves
EPI3299212,4,Aves
EPI2585267,A,Galliformes
EPI2137792,5,Charadriiformes
EPI2587240,4,Aves
EPI2178830,4,Aves
EPI3627955,2,Anseriformes
EPI2352555,A,Galliformes
EPI2098667,A,Galliformes
EPI3605177,4,Aves
EPI2895375,4,Aves
EPI2035065,4,Aves
EPI2752160,A,Galliformes
EPI3442254,A,Galliformes
EPI1957757,A,Galliformes
EPI3316855,4,Aves
EPI3312802,4,Aves
EPI2755486,4,Aves
EPI2141103,A,Galliformes
EPI2614390,4,Aves
EPI3555288,M,mammal
EPI3298324,4,Aves
EPI2626068,4,Aves
EPI1927109,A,Galliformes
EPI3048481,2,Anseriformes
EPI3324043,5,Charadriiformes
EPI3303948,4,Aves
EPI3310308,4,Aves
EPI1966221,0,Accipitriformes
EPI2578108,H,Falconiformes
EPI2249071,A,Galliformes
EPI2856644,4,Aves
EPI3409125,6,Artiodactyla
EPI2150918,5,Charadriiformes
EPI2475149,4,Aves
EPI3049212,4,Aves
EPI2744738,4,Aves
EPI1946375,2,Anseriformes
EPI2140217,A,Galliformes
EPI2899718,4,Aves
EPI3555418,A,Galliformes
EPI2718793,5,Charadriiformes
EPI2198876,4,Aves
EPI1963897,2,Anseriformes
EPI2707450,0,Accipitriformes
EPI3313762,4,Aves
EPI1918757,A,Galliformes
EPI2512582,M,mammal
EPI2670297,4,Aves
EPI2510264,5,Charadriiformes
EPI2247308,4,Aves
EPI3305120,4,Aves
EPI3302714,4,Aves
EPI3302810,4,Aves
EPI2437035,M,mammal
EPI2223264,4,Aves
EPI2603404,4,Aves
EPI1941426,2,Anseriformes
EPI2109943,M,mammal
EPI2530128,2,Anseriformes
EPI2178774,2,Anseriformes
EPI1945530,4,Aves
EPI3054175,2,Anseriformes
EPI3259740,M,mammal
EPI2454974,?,Galliformes
EPI2231784,F,Environment
EPI2652427,2,Anseriformes
EPI2613742,4,Aves
EPI3261267,4,Aves
EPI1990440,R,Podicipediformes
EPI2906182,4,Aves
EPI3461280,6,Artiodactyla
EPI1951309,A,Galliformes
EPI2428897,4,Aves
EPI2429170,4,Aves
EPI1995156,A,Galliformes
EPI3391481,5,Charadriiformes
EPI2639274,4,Aves
EPI2417060,2,Anseriformes
EPI2506458,A,Galliformes
EPI2667012,4,Aves
EPI2705746,4,Aves
EPI2277921,A,Galliformes
EPI3489564,4,Aves
EPI2639787,4,Aves
EPI1949882,4,Aves
EPI2220059,4,Aves
EPI3323805,2,Anseriformes
EPI2050768,4,Aves
EPI2264011,4,Aves
EPI3567511,4,Aves
EPI3302212,6,Artiodactyla
EPI3314146,4,Aves
EPI2773648,A,Galliformes
EPI2427802,4,Aves
EPI3108418,4,Aves
EPI1943557,0,Accipitriformes
EPI2398395,A,Galliformes
EPI2248031,2,Anseriformes
EPI3314976,4,Aves
EPI2162133,A,Galliformes
EPI3260163,4,Aves
EPI2397440,5,Charadriiformes
EPI2742419,F,Environment
EPI3447120,4,Aves
EPI3649010,6,Artiodactyla
EPI2428074,4,Aves
EPI2622929,4,Aves
EPI3528298,4,Aves
EPI1998042,A,Galliformes
EPI3309832,4,Aves
EPI2507027,4,Aves
EPI2263498,4,Aves
EPI3528210,4,Aves
EPI2971353,2,Anseriformes
EPI1951317,4,Aves
EPI3411326,M,mammal
EPI2800242,A,Galliformes
EPI2649361,8,Carnivora
EPI2709650,4,Aves
EPI2855886,4,Aves
EPI3307594,4,Aves
EPI3305864,4,Aves
EPI2427941,4,Aves
EPI3657600,6,Artiodactyla
EPI3073427,M,mammal
EPI2730901,5,Charadriiformes
EPI2743498,2,Anseriformes
EPI2134238,A,Galliformes
EPI3359574,4,Aves
EPI3306153,4,Aves
EPI3261011,2,Anseriformes
EPI3255834,A,Galliformes
EPI2311439,2,Anseriformes
EPI2816105,0,Accipitriformes
EPI1951301,2,Anseriformes
EPI3306932,4,Aves
EPI2609536,M,mammal
EPI2235584,M,mammal
EPI2930905,0,Accipitriformes
EPI3604991,4,Aves
EPI3302402,4,Aves
EPI3182916,A,Galliformes
EPI3308656,4,Aves
EPI1965994,2,Anseriformes
EPI3447104,4,Aves
EPI3277493,4,Aves
EPI2122972,2,Anseriformes
EPI3308424,4,Aves
EPI3302626,4,Aves
EPI1995244,A,Galliformes
EPI3412415,6,Artiodactyla
EPI2552809,5,Charadriiformes
EPI3605079,4,Aves
EPI2751300,A,Galliformes
EPI2012875,F,Environment
EPI2181780,4,Aves
EPI2708246,0,Accipitriformes
EPI2232810,A,Galliformes
EPI2702814,2,Anseriformes
EPI3309696,4,Aves
EPI3303826,4,Aves
EPI3138049,A,Galliformes
EPI2140903,A,Galliformes
EPI2705133,2,Anseriformes
EPI2429256,4,Aves
EPI2559919,5,Charadriiformes
EPI2071064,2,Anseriformes
EPI2585251,0,Accipitriformes
EPI3297924,4,Aves
EPI2076309,2,Anseriformes
EPI2497065,4,Aves
EPI3527089,4,Aves
EPI3313018,4,Aves
EPI3324005,4,Aves
EPI3315312,4,Aves
EPI2867917,4,Aves
EPI3605145,4,Aves
EPI3303482,4,Aves
EPI3395228,4,Aves
EPI2856413,4,Aves
EPI3305152,4,Aves
EPI2300659,4,Aves
EPI2913229,4,Aves
EPI2792774,2,Anseriformes
EPI2760820,4,Aves
EPI1859803,4,Aves
EPI3071257,2,Anseriformes
EPI2050799,4,Aves
EPI3307882,4,Aves
EPI2856190,4,Aves
EPI2178630,4,Aves
EPI3592907,4,Aves
EPI2930718,2,Anseriformes
EPI1980988,H,Falconiformes
EPI2507057,2,Anseriformes
EPI2691237,4,Aves
EPI3305280,4,Aves
EPI2028777,2,Anseriformes
EPI3312586,4,Aves
EPI3311194,M,mammal
EPI2114018,4,Aves
EPI2506124,A,Galliformes
EPI2712968,4,Aves
EPI2886223,D,Corvidae
EPI3509695,4,Aves
EPI3446748,6,Artiodactyla
EPI3292974,4,Aves
EPI3544014,4,Aves
EPI2509915,4,Aves
EPI2670385,4,Aves
EPI2703370,4,Aves
EPI2856139,M,mammal
EPI2577948,A,Galliformes
EPI2497129,2,Anseriformes
EPI3358645,4,Aves
EPI2648159,2,Anseriformes
EPI3316727,M,mammal
EPI3523295,5,Charadriiformes
EPI2178806,5,Charadriiformes
EPI2704048,4,Aves
EPI2428817,4,Aves
EPI2305241,A,Galliformes
EPI2243587,4,Aves
EPI2296256,A,Galliformes
EPI2456385,?,Galliformes
EPI1958441,5,Charadriiformes
EPI3314186,4,Aves
EPI3315000,4,Aves
EPI1994498,4,Aves
EPI1994490,4,Aves
EPI2246897,2,Anseriformes
EPI3631266,6,Artiodactyla
EPI2574013,4,Aves
EPI1954434,0,Accipitriformes
EPI2352324,4,Aves
EPI2278073,4,Aves
EPI3173442,0,Accipitriformes
EPI2506884,4,Aves
EPI3555196,4,Aves
EPI1988029,2,Anseriformes
EPI2029858,2,Anseriformes
EPI3324642,4,Aves
EPI2506481,A,Galliformes
EPI2526489,2,Anseriformes
EPI2603471,4,Aves
EPI476491,4,Aves
EPI3447925,5,Charadriiformes
EPI2061051,M,mammal
EPI3313266,4,Aves
EPI2873828,4,Aves
EPI1815142,4,Aves
EPI2751852,A,Galliformes
EPI3298804,4,Aves
EPI2429264,4,Aves
EPI3411914,6,Artiodactyla
EPI2311495,5,Charadriiformes
EPI2895351,4,Aves
EPI2540224,H,Falconiformes
EPI1923252,A,Galliformes
EPI2989833,4,Aves
EPI2709996,2,Anseriformes
EPI3649024,A,Galliformes
EPI2072248,2,Anseriformes
EPI2528178,4,Aves
EPI3575368,6,Artiodactyla
EPI2352538,A,Galliformes
EPI2856648,M,mammal
EPI2614342,4,Aves
EPI2015085,2,Anseriformes
EPI2246640,4,Aves
EPI2505997,4,Aves
EPI2500041,4,Aves
EPI3179889,4,Aves
EPI2140598,A,Galliformes
EPI2540408,4,Aves
EPI1398287,A,Galliformes
EPI2872799,A,Galliformes
EPI3261483,2,Anseriformes
EPI2708800,4,Aves
EPI2427773,4,Aves
EPI2622899,4,Aves
EPI2703943,4,Aves
EPI3091454,A,Galliformes
EPI2872650,4,Aves
EPI2609126,2,Anseriformes
EPI1957937,A,Galliformes
EPI2703261,4,Aves
EPI2088950,4,Aves
EPI2017071,A,Galliformes
EPI1938868,2,Anseriformes
EPI1946407,4,Aves
EPI3323369,0,Accipitriformes
EPI2697330,8,Carnivora
EPI3280279,2,Anseriformes
EPI2428913,4,Aves
EPI2232826,2,Anseriformes
EPI2178598,0,Accipitriformes
EPI2904387,4,Aves
EPI2637111,4,Aves
EPI2220613,8,Carnivora
EPI2278025,4,Aves
EPI2643213,4,Aves
EPI2718780,9,Suliformes
EPI3509663,4,Aves
EPI2011632,2,Anseriformes
EPI2071296,5,Charadriiformes
EPI3494044,4,Aves
EPI2429298,4,Aves
EPI354443,J,Primates
EPI3298652,4,Aves
EPI2702695,2,Anseriformes
EPI1987373,E,Columbiformes
EPI2507003,M,mammal
EPI2198228,A,Galliformes
EPI2707672,0,Accipitriformes
EPI2665395,4,Aves
EPI2557239,4,Aves
EPI3277739,4,Aves
EPI2792758,2,Anseriformes
EPI3260579,6,Artiodactyla
EPI2259247,4,Aves
EPI2263867,4,Aves
EPI2415032,0,Accipitriformes
EPI1995045,4,Aves
EPI1985938,4,Aves
EPI2001596,A,Galliformes
EPI2856469,4,Aves
EPI2856078,4,Aves
EPI2428296,4,Aves
EPI3481352,4,Aves
EPI2505922,4,Aves
EPI2278217,4,Aves
EPI3410127,6,Artiodactyla
EPI3072487,2,Anseriformes
EPI3260245,M,mammal
EPI2703889,4,Aves
EPI2236670,M,mammal
EPI2957016,2,Anseriformes
EPI3277557,4,Aves
EPI2428889,4,Aves
EPI3358580,4,Aves
EPI2603764,H,Falconiformes
EPI3298540,4,Aves
EPI2710487,2,Anseriformes
EPI3277541,4,Aves
EPI3395156,4,Aves
EPI2278185,4,Aves
EPI3316287,4,Aves
EPI2029091,4,Aves
EPI2794113,5,Charadriiformes
EPI2428378,4,Aves
EPI3134714,A,Galliformes
EPI1945147,4,Aves
EPI2455073,A,Galliformes
EPI3309576,4,Aves
EPI1981020,M,mammal
EPI2573973,4,Aves
EPI2191401,4,Aves
EPI3313818,4,Aves
EPI2114058,4,Aves
EPI2856919,4,Aves
EPI3305480,4,Aves
EPI3307778,4,Aves
EPI2856557,4,Aves
EPI2885305,A,Galliformes
EPI3391425,2,Anseriformes
EPI2933008,2,Anseriformes
EPI1982581,2,Anseriformes
EPI3462368,A,Galliformes
EPI3323738,4,Aves
EPI2760716,4,Aves
EPI2944515,4,Aves
EPI3260057,A,Galliformes
EPI1945469,4,Aves
EPI3489674,4,Aves
EPI2092553,A,Galliformes
EPI2122860,5,Charadriiformes
EPI2751572,A,Galliformes
EPI2260742,4,Aves
EPI2198636,A,Galliformes
EPI2510801,4,Aves
EPI3073459,4,Aves
EPI1980956,0,Accipitriformes
EPI2771031,3,Animal
EPI2076018,4,Aves
EPI2232890,A,Galliformes
EPI2029310,4,Aves
EPI2510361,4,Aves
EPI2574150,4,Aves
EPI2198548,2,Anseriformes
EPI2706407,A,Galliformes
EPI3577038,2,Anseriformes
EPI1999369,A,Galliformes
EPI1967033,4,Aves
EPI2072112,A,Galliformes
EPI2747674,A,Galliformes
EPI2603832,4,Aves
EPI2193007,A,Galliformes
EPI3442199,A,Galliformes
EPI2906246,4,Aves
EPI2310391,5,Charadriiformes
EPI3028756,A,Galliformes
EPI2158592,4,Aves
EPI2506908,0,Accipitriformes
EPI2550117,A,Galliformes
EPI2205109,2,Anseriformes
EPI2667036,4,Aves
EPI1946343,5,Charadriiformes
EPI3630061,J,Primates
EPI2788566,4,Aves
EPI2856125,4,Aves
EPI1958425,5,Charadriiformes
EPI2788510,4,Aves
EPI2436841,2,Anseriformes
EPI3162333,M,mammal
EPI2919521,M,mammal
EPI1930123,2,Anseriformes
EPI2648211,5,Charadriiformes
EPI2141164,A,Galliformes
EPI2191409,4,Aves
EPI3555295,A,Galliformes
EPI2589509,4,Aves
EPI2691253,4,Aves
EPI2085954,A,Galliformes
EPI3304192,4,Aves
EPI2648155,2,Anseriformes
EPI108065,2,Anseriformes
EPI2139904,A,Galliformes
EPI2697385,8,Carnivora
EPI3604727,4,Aves
EPI3312906,4,Aves
EPI2264251,4,Aves
EPI3484899,4,Aves
EPI2198124,A,Galliformes
EPI2008133,5,Charadriiformes
EPI2428491,4,Aves
EPI3509822,2,Anseriformes
EPI2046156,A,Galliformes
EPI3351022,4,Aves
EPI2552825,5,Charadriiformes
EPI2653503,2,Anseriformes
EPI2437060,A,Galliformes
EPI3631032,6,Artiodactyla
EPI1943565,M,mammal
EPI3543894,4,Aves
EPI3328367,4,Aves
EPI3566903,4,Aves
EPI2751156,A,Galliformes
EPI2614486,4,Aves
EPI2705157,2,Anseriformes
EPI2923389,A,Galliformes
EPI2181747,0,Accipitriformes
EPI2299151,2,Anseriformes
EPI1982537,A,Galliformes
EPI2236200,M,mammal
EPI3305024,4,Aves
EPI2509923,4,Aves
EPI3139949,2,Anseriformes
EPI2236176,4,Aves
EPI2702586,2,Anseriformes
EPI1980589,2,Anseriformes
EPI2015001,2,Anseriformes
EPI2071784,A,Galliformes
EPI2744294,4,Aves
EPI2102554,A,Galliformes
EPI1930838,A,Galliformes
EPI2233010,A,Galliformes
EPI3640723,2,Anseriformes
EPI3306741,4,Aves
EPI3412271,6,Artiodactyla
EPI2263738,4,Aves
EPI2869868,4,Aves
EPI2788534,4,Aves
EPI2842819,2,Anseriformes
EPI2609556,4,Aves
EPI2709487,2,Anseriformes
EPI2236232,M,mammal
EPI1945275,4,Aves
EPI2689430,4,Aves
EPI2664934,E,Columbiformes
EPI3017995,A,Galliformes
EPI2841141,2,Anseriformes
EPI3630655,6,Artiodactyla
EPI1995847,4,Aves
EPI1927676,2,Anseriformes
EPI2437581,J,Primates
EPI2260502,4,Aves
EPI2137783,5,Charadriiformes
EPI3609647,A,Galliformes
EPI3412402,M,mammal
EPI2420052,4,Aves
EPI2585308,M,mammal
EPI3320629,4,Aves
EPI3509639,4,Aves
EPI3091478,A,Galliformes
EPI2712855,2,Anseriformes
EPI3434338,4,Aves
EPI2579761,4,Aves
EPI3451425,2,Anseriformes
EPI2648224,5,Charadriiformes
EPI2559679,5,Charadriiformes
EPI2278113,4,Aves
EPI2708895,4,Aves
EPI3599853,A,Galliformes
EPI2291634,4,Aves
EPI2635162,5,Charadriiformes
EPI2242291,4,Aves
EPI3307259,4,Aves
EPI2537036,5,Charadriiformes
EPI2703700,4,Aves
EPI2428481,4,Aves
EPI2232698,A,Galliformes
EPI3506807,6,Artiodactyla
EPI1944469,A,Galliformes
EPI1954257,2,Anseriformes
EPI3308272,4,Aves
EPI2132616,4,Aves
EPI2560047,2,Anseriformes
EPI1940257,A,Galliformes
EPI2576646,2,Anseriformes
EPI2799832,A,Galliformes
EPI2742851,4,Aves
EPI3312074,4,Aves
EPI3323306,4,Aves
EPI2666839,A,Galliformes
EPI3294541,6,Artiodactyla
EPI2198500,2,Anseriformes
EPI3395084,4,Aves
EPI2455292,4,Aves
EPI2068311,2,Anseriformes
EPI2742883,4,Aves
EPI2008069,4,Aves
EPI2648173,2,Anseriformes
EPI2109875,4,Aves
EPI3625319,6,Artiodactyla
EPI2988556,4,Aves
EPI2614470,4,Aves
EPI2800313,A,Galliformes
EPI2751580,A,Galliformes
EPI3312634,4,Aves
EPI2247324,4,Aves
EPI1994410,A,Galliformes
EPI3409434,6,Artiodactyla
EPI2181499,A,Galliformes
EPI2243827,4,Aves
EPI3488403,4,Aves
EPI2721973,4,Aves
EPI2742443,4,Aves
EPI2506236,A,Galliformes
EPI2258743,4,Aves
EPI2930873,0,Accipitriformes
EPI3312466,4,Aves
EPI2545077,4,Aves
EPI2398420,2,Anseriformes
EPI2053826,4,Aves
EPI2278105,4,Aves
EPI3182944,2,Anseriformes
EPI2300469,A,Galliformes
EPI2603440,4,Aves
EPI2073632,4,Aves
EPI2589870,A,Galliformes
EPI2536750,4,Aves
EPI2562617,A,Galliformes
EPI2510313,4,Aves
EPI2589830,2,Anseriformes
EPI2131387,M,mammal
EPI3313666,4,Aves
EPI2198468,A,Galliformes
EPI3302930,4,Aves
EPI1963000,A,Galliformes
EPI2639835,4,Aves
EPI2742835,4,Aves
EPI2505973,4,Aves
EPI2506980,4,Aves
EPI2885625,A,Galliformes
EPI1949198,2,Anseriformes
EPI3315927,4,Aves
EPI3605015,4,Aves
EPI2041974,A,Galliformes
EPI2640975,4,Aves
EPI2744246,4,Aves
EPI2283168,2,Anseriformes
EPI3590972,2,Anseriformes
EPI3293006,4,Aves
EPI2428610,4,Aves
EPI2613846,4,Aves
EPI3625350,6,Artiodactyla
EPI3226851,2,Anseriformes
EPI1847700,0,Accipitriformes
EPI2544040,5,Charadriiformes
EPI2310314,5,Charadriiformes
EPI2886289,D,Corvidae
EPI2778926,4,Aves
EPI2196496,2,Anseriformes
EPI2899630,4,Aves
EPI2705343,2,Anseriformes
EPI2198364,A,Galliformes
EPI2789262,4,Aves
EPI3447064,4,Aves
EPI1995188,A,Galliformes
EPI2414973,4,Aves
EPI3631107,6,Artiodactyla
EPI3462822,A,Galliformes
EPI2702575,2,Anseriformes
EPI2585283,M,mammal
EPI2278121,4,Aves
EPI2943369,Q,Sphenisciformes
EPI2622921,4,Aves
EPI1998370,A,Galliformes
EPI2181643,2,Anseriformes
EPI2071616,A,Galliformes
EPI2682573,5,Charadriiformes
EPI2071888,A,Galliformes
EPI2179316,4,Aves
EPI2760844,4,Aves
EPI3303936,4,Aves
EPI2130819,M,mammal
EPI2089014,4,Aves
EPI3183498,A,Galliformes
EPI3040916,4,Aves
EPI3324117,2,Anseriformes
EPI3488427,2,Anseriformes
EPI3222816,2,Anseriformes
EPI2652450,2,Anseriformes
EPI2801205,2,Anseriformes
EPI1862714,2,Anseriformes
EPI2072016,A,Galliformes
EPI2072096,2,Anseriformes
EPI2198180,A,Galliformes
EPI1928764,A,Galliformes
EPI2665323,4,Aves
EPI3277573,4,Aves
EPI2260734,M,mammal
EPI2743163,4,Aves
EPI2076261,2,Anseriformes
EPI3391916,4,Aves
EPI3222700,2,Anseriformes
EPI3605131,4,Aves
EPI2606376,2,Anseriformes
EPI2537052,5,Charadriiformes
EPI2589862,2,Anseriformes
EPI2573949,A,Galliformes
EPI1807243,4,Aves
EPI2780378,4,Aves
EPI2427976,4,Aves
EPI2873439,4,Aves
EPI3312570,4,Aves
EPI3302770,4,Aves
EPI2760772,4,Aves
EPI2906134,4,Aves
EPI2648196,A,Galliformes
EPI2856597,4,Aves
EPI2076237,A,Galliformes
EPI1927124,2,Anseriformes
EPI2536856,2,Anseriformes
EPI3467505,J,Primates
EPI2233066,A,Galliformes
EPI2998365,4,Aves
EPI2705778,4,Aves
EPI2744224,H,Falconiformes
EPI3323093,4,Aves
EPI2709089,4,Aves
EPI3077307,2,Anseriformes
EPI2631669,4,Aves
EPI2872791,A,Galliformes
EPI1944288,A,Galliformes
EPI2428151,4,Aves
EPI2428944,4,Aves
EPI2218167,A,Galliformes
EPI3323293,4,Aves
EPI2238851,2,Anseriformes
EPI3591092,H,Falconiformes
EPI2559887,5,Charadriiformes
EPI2899598,4,Aves
EPI2886453,4,Aves
EPI3303426,4,Aves
EPI2277817,4,Aves
