Accession,Organism,Strain,Isolation_Source,Host,Country,Collection_Year
PQ378417.1,Influenza A virus,A/cattle/CO/24-019691-001-original/2024,milk,cattle,,2024
PQ378337.1,Influenza A virus,A/cattle/CO/24-019381-003-original/2024,milk,cattle,,2024
PQ378297.1,Influenza A virus,A/cattle/CO/24-018871-005-original/2024,milk,cattle,,2024
PQ378273.1,Influenza A virus,A/cattle/CO/24-018871-002-original/2024,milk,cattle,,2024
PQ378265.1,Influenza A virus,A/cattle/CO/24-018871-001-original/2024,milk,cattle,,2024
PQ378257.1,Influenza A virus,A/cattle/CO/24-018869-001-original/2024,milk,cattle,,2024
PQ378241.1,Influenza A virus,A/cattle/CO/24-018772-009-original/2024,milk,cattle,,2024
PQ378185.1,Influenza A virus,A/cattle/CO/24-018336-012-original/2024,milk,cattle,,2024
PQ378153.1,Influenza A virus,A/cattle/CO/24-018336-004-original/2024,milk,cattle,,2024
PQ378033.1,Influenza A virus,A/cattle/CO/24-018151-004-original/2024,milk,cattle,,2024
PQ378001.1,Influenza A virus,A/cattle/CO/24-018149-003-original/2024,milk,cattle,,2024
PQ809557.1,Influenza A virus,A/Louisiana/12/2024 Original,,Homo sapiens,,2024
PQ809551.1,Influenza A virus,A/Louisiana/12/2024 OR_IR,,Homo sapiens,,2024
PV602144.1,Influenza A virus,A/American green-winged teal/USA/IZ24_0776/2024,oropharyngeal/cloacal swab,American green-winged teal,,2024
PV267538.1,Influenza A virus,A/green-winged teal/Texas/UGAI24-3048/2024,CL/OP swab,green-winged teal,,2024
PV267530.1,Influenza A virus,A/green-winged teal/Texas/UGAI24-2961/2024,CL/OP swab,green-winged teal,,2024
PV267474.1,Influenza A virus,A/bald eagle/Georgia/W24-1067/2024,CL/OP swab,bald eagle,,2024
PV267418.1,Influenza A virus,A/American black duck/Tennessee/141/2024,CL/OP swab,American black duck,,2024
PV602280.1,Influenza A virus,A/northern pintail/USA/IZ24_0772/2024,oropharyngeal/cloacal swab,northern pintail,,2024
PV602272.1,Influenza A virus,A/northern pintail/USA/IZ24_0763/2024,oropharyngeal/cloacal swab,northern pintail,,2024
PV602248.1,Influenza A virus,A/northern pintail/USA/IZ24_0684/2024,oropharyngeal/cloacal swab,northern pintail,,2024
PV602208.1,Influenza A virus,A/northern pintail/USA/IZ24_0555/2024,oropharyngeal/cloacal swab,northern pintail,,2024
PV267618.1,Influenza A virus,A/snow goose/Arkansas/AR24-104/2024,brain swab,snow goose,,2024
PV483725.1,Influenza A virus,A/Ostrich/Sonora/CPA-00009-25/2025,"Cloacal swab, spleen, lung, and allantoic fluid",Ostrich,,2025
PV267706.1,Influenza A virus,A/snow goose/Louisiana/W24-1087OR/2024,CL/OP swab,snow goose,,2024
PV267698.1,Influenza A virus,A/snow goose/Louisiana/W24-1010A/2024,CL/OP swab,snow goose,,2024
PV267666.1,Influenza A virus,A/snow goose/Kentucky/W24-1021B/2024,CL/OP swab,snow goose,,2024
PV267498.1,Influenza A virus,A/cackling goose/Kansas/W24-1006/2024,brain swab,cackling goose,,2024
PV267466.1,Influenza A virus,A/bald eagle/Georgia/W24-1050B/2024,CL/OP swab,bald eagle,,2024
PV267434.1,Influenza A virus,A/Ross's goose/Kansas/W24-1015/2024,CL/OP swab,Ross's goose,,2024
PV602240.1,Influenza A virus,A/northern pintail/USA/IZ24_0683/2024,oropharyngeal/cloacal swab,northern pintail,,2024
PV602168.1,Influenza A virus,A/mallard/USA/IZ24_0675/2024,oropharyngeal/cloacal swab,mallard,,2024
PV267562.1,Influenza A virus,A/northern pintail/Tennessee/158/2024,CL/OP swab,northern pintail,,2024
PV267690.1,Influenza A virus,A/snow goose/Kentucky/W24-1066/2024,CL/OP swab,snow goose,,2024
PV267674.1,Influenza A virus,A/snow goose/Kentucky/W24-1021D/2024,CL/OP swab,snow goose,,2024
PV267602.1,Influenza A virus,A/ring-necked duck/Texas/UGAI24-2984/2024,CL/OP swab,ring-necked duck,,2024
PV267490.1,Influenza A virus,A/bobcat/Kansas/W24-1062/2024,brain swab,bobcat,,2024
PQ573555.1,Influenza A virus,A/Washington/239/2024,,Homo sapiens,,2024
PQ885592.1,Influenza A virus,A/Iowa/124/2024,,Homo sapiens,,2024
PQ585627.1,Influenza A virus,A/Washington/UW32495/2024,swab,Homo sapiens,,2024
PV602304.1,Influenza A virus,A/northern pintail/USA/IZ24_0866/2024,oropharyngeal/cloacal swab,northern pintail,,2024
PV602152.1,Influenza A virus,A/American green-winged teal/USA/IZ24_0777/2024,oropharyngeal/cloacal swab,American green-winged teal,,2024
PV267578.1,Influenza A virus,A/red-shouldered hawk/Louisiana/W24-1057/2024,CL/OP swab,red-shouldered hawk,,2024
PV483741.1,Influenza A virus,A/goose/Durango/CPA-00444-25/2025,"Cloacal swab, tracheal swab, spleen, lung, trachea, cecal tonsil and allantoic fluid",goose,,2025
PV267730.1,Influenza A virus,A/wood duck/Kansas/W24-1068B/2024,CL/OP swab,wood duck,,2024
PV267658.1,Influenza A virus,A/snow goose/Kansas/W24-1051B/2024,CL/OP swab,snow goose,,2024
PV267650.1,Influenza A virus,A/snow goose/Kansas/W24-1014/2024,brain,snow goose,,2024
PV267634.1,Influenza A virus,A/snow goose/Kansas/W24-1007B/2024,CL/OP swab,snow goose,,2024
PV267626.1,Influenza A virus,A/snow goose/Arkansas/AR24-105/2024,brain swab,snow goose,,2024
PV267482.1,Influenza A virus,A/blue-winged teal/Louisiana/LA24-1082/2024,CL/OP swab,blue-winged teal,,2024
PV267450.1,Influenza A virus,A/Ross's goose/Louisiana/W24-1056/2024,CL/OP swab,Ross's goose,,2024
PV078295.1,Influenza A virus,A/Mallard/Alberta/158/2024,Cloacal,Anas platyrhynchos,,2024
PV267682.1,Influenza A virus,A/snow goose/Kentucky/W24-1065/2024,CL/OP swab,snow goose,,2024
PV267522.1,Influenza A virus,A/green-winged teal/Kentucky/W24-1039A/2024,brain swab,green-winged teal,,2024
PV483733.1,Influenza A virus,A/Unknown/Durango/CPA-00563-25/2025,"Cloacal swab tracheal swab, trachea and allantoic fluid",unknown,,2025
PV267426.1,Influenza A virus,A/Canada goose/Kansas/W24-962/2024,CL/OP swab,Canada goose,,2024
PV078444.1,Influenza A virus,A/Mallard/Alberta/276/2024,Cloacal,Anas platyrhynchos,,2024
PV267610.1,Influenza A virus,A/snow goose/Arkansas/AR24-102/2024,brain swab,snow goose,,2024
PV113346.1,Influenza A virus,A/Nevada/10/2025,,Homo sapiens,,2025
PQ859351.1,Influenza A virus,A/chicken/LA/24-037801-001-original/2024,swab,chicken,,2024
PV267442.1,Influenza A virus,A/Ross's goose/Kansas/W24-1031E/2024,brain,Ross's goose,,2024
PV084924.1,Influenza A virus,A/Mallard/Alberta/520/2024,Cloacal,Anas platyrhynchos,,2024
PQ664459.1,Influenza A virus,A/chicken/WA/24-031352-001-original/2024,Oropharyngeal Swab,chicken,,2024
PV602267.1,Influenza A virus,A/northern pintail/USA/IZ24_0760/2024,oropharyngeal/cloacal swab,northern pintail,,2024
PV159353.1,Influenza A virus,A/Bobcat/CO/24-038835-001-original/2024,brain,Bobcat,,2024
PV060155.1,Influenza A virus,A/Turkey/WI/24-037154-001-original/2024,tracheal swab,turkey,,2024
PQ843408.1,Influenza A virus,A/Duck/AZ/24-034642-005-original/2024,cloacal swab,duck,,2024
PQ798067.1,Influenza A virus,A/goose/OR/24-032167-001-original/2024,cloacal swab,goose,,2024
PQ798043.1,Influenza A virus,A/chicken/WA/24-032809-001-original/2024,cloacal swab,chicken,,2024
PQ797955.1,Influenza A virus,A/chicken/CA/24-032296-001-original/2024,Oropharyngeal Swab,chicken,,2024
PV078504.1,Influenza A virus,A/Mallard/Alberta/69/2024,Cloacal,Anas platyrhynchos,,2024
PV625459.1,Influenza A virus,A/goose/CA/24-035866-001-original/2024,Cloacal/Oropharyngeal Swab Pool,goose,,2024
PV572875.1,Influenza A virus,A/chicken/IN/25-008062-001-original/2025,swab,chicken,,2025
PV493847.1,Influenza A virus,A/chicken/CA/25-004955-001-original/2025,Oropharyngeal Swab,chicken,,2025
PV396461.1,Influenza A virus,A/chicken/MI/25-003779-001-original/2025,Oropharyngeal Swab,chicken,,2025
PV395629.1,Influenza A virus,A/Duck/AZ/25-003936-004-original/2025,swab,duck,,2025
PV337646.1,Influenza A virus,A/Red-tailed Hawk/MN/25-001818-002-original/2025,Cloacal/Oropharyngeal Swab Pool,Red-tailed Hawk,,2025
PV336958.1,Influenza A virus,A/Mallard/MD/25-003141-001-original/2025,Cloacal/Oropharyngeal Swab Pool,Mallard,,2025
PV336454.1,Influenza A virus,A/Canada Goose/ND/25-003472-003-original/2025,Cloacal/Oropharyngeal Swab Pool,Canada Goose,,2025
PV336406.1,Influenza A virus,A/Canada Goose/KY/25-003126-001-original/2025,Cloacal/Oropharyngeal Swab Pool,Canada Goose,,2025
PV336334.1,Influenza A virus,A/Barn Owl/CA/25-003273-002-original/2025,cloacal swab,Barn Owl,,2025
PV336326.1,Influenza A virus,A/Bald Eagle/SC/25-003364-001-original/2025,swab,Bald Eagle,,2025
PV218251.1,Influenza A virus,A/Canada Goose/IL/25-000616-007-original/2025,Cloacal/Oropharyngeal Swab Pool,Canada Goose,,2025
PV162457.1,Influenza A virus,A/goose/MI/25-000481-001-original/2025,cloacal swab,goose,,2025
PV162169.1,Influenza A virus,A/chicken/MS/24-038907-001-original/2024,oral swab,chicken,,2024
PV162105.1,Influenza A virus,A/chicken/MO/24-038439-001-original/2024,swab,chicken,,2024
PV162017.1,Influenza A virus,A/chicken/ID/25-000073-001-original/2024,Oropharyngeal Swab,chicken,,2024
PV161913.1,Influenza A virus,A/chicken/DE/25-000201-001-original/2025,Oropharyngeal Swab,chicken,,2025
PV159633.1,Influenza A virus,A/Guineafowl/WV/25-000050-001-original/2024,swab,Guineafowl,,2024
PV159625.1,Influenza A virus,A/Guineafowl/SD/25-000286-001-original/2025,Oropharyngeal Swab,Guineafowl,,2025
PV072391.1,Influenza A virus,A/chicken/SD/24-037531-001-original/2024,Cloacal/Oropharyngeal Swab Pool,chicken,,2024
PV072351.1,Influenza A virus,A/chicken/NE/24-037436-001-original/2024,Oropharyngeal Swab,chicken,,2024
PV072343.1,Influenza A virus,A/chicken/MS/24-038164-001-original/2024,tracheal swab,chicken,,2024
PV072247.1,Influenza A virus,A/chicken/IA/24-037488-006-original/2024,Oropharyngeal Swab,chicken,,2024
PV072127.1,Influenza A virus,A/chicken/AR/24-037983-003-original/2024,Oropharyngeal Swab,chicken,,2024
PV071015.1,Influenza A virus,A/Turkey/MN/24-037988-001-original/2024,Oropharyngeal Swab,turkey,,2024
PV060523.1,Influenza A virus,A/chicken/NE/24-036856-001-original/2024,Oropharyngeal Swab,chicken,,2024
PV060139.1,Influenza A virus,A/Turkey/SD/24-036844-001-original/2024,Oropharyngeal Swab,turkey,,2024
PV060099.1,Influenza A virus,A/Turkey/SD/24-036598-001-original/2024,Oropharyngeal Swab,turkey,,2024
PV060059.1,Influenza A virus,A/Turkey/SD/24-036337-001-original/2024,Oropharyngeal Swab,turkey,,2024
PV059987.1,Influenza A virus,A/Turkey/NE/24-036590-001-original/2024,Oropharyngeal Swab,turkey,,2024
PV059875.1,Influenza A virus,A/Mountain Lion/AZ/24-036741-001-original/2024,nasal swab,Mountain Lion,,2024
PQ892952.1,Influenza A virus,A/chicken/KS/24-035703-001-original/2024,swab,chicken,,2024
PQ892760.1,Influenza A virus,A/Turkey/SD/24-035932-001-original/2024,Oropharyngeal Swab,turkey,,2024
PQ892672.1,Influenza A virus,A/Turkey/SD/24-035157-001-original/2024,Oropharyngeal Swab,turkey,,2024
PQ892664.1,Influenza A virus,A/Turkey/ND/24-035295-001-original/2024,Oropharyngeal Swab,turkey,,2024
PQ844064.1,Influenza A virus,A/chicken/CA/24-034655-001-original/2024,Oropharyngeal Swab,chicken,,2024
PQ798035.1,Influenza A virus,A/chicken/WA/24-032192-001-original/2024,Oropharyngeal Swab,chicken,,2024
PQ797971.1,Influenza A virus,A/chicken/MT/24-032160-001-original/2024,cloacal swab,chicken,,2024
PQ797963.1,Influenza A virus,A/chicken/CA/24-032296-002-original/2024,Oropharyngeal Swab,chicken,,2024
PQ663859.1,Influenza A virus,A/Guineafowl/WA/24-030328-001-original/2024,Oropharyngeal Swab,Guineafowl,,2024
PP752104.1,Influenza A virus,A/great horned owl/Kansas/W24-005/2023,Combined cloacal and oral-pharyngeal,Bubo virginianus,,2023
PP577021.1,Influenza A virus,A/greater white-fronted goose/Louisiana/W23-857A/2023,Brain swab,Anser albifrons,,2023
PP576902.1,Influenza A virus,A/wood duck/Georgia/W24-007A/2023,Heart swab,Chenonetta jubata,,2023
PP576996.1,Influenza A virus,A/wood duck/Georgia/W24-007B/2023,Brain swab,Chenonetta jubata,,2023
PP577011.1,Influenza A virus,A/snow goose/Kansas/W23-949C/2023,Oral-pharyngeal,Anser caerulescens,,2023
PP576927.1,Influenza A virus,A/Ross's goose/Kansas/W23-930F/2023,Heart tissue,Anser rossii,,2023
PP576854.1,Influenza A virus,A/snow goose/Kansas/W23-930A/2023,Cloacal,Anser caerulescens,,2023
PP576846.1,Influenza A virus,A/Canada goose/Louisiana/W23-902/2023,Oral-pharyngeal,Branta canadensis,,2023
PP576825.1,Influenza A virus,A/greater white-fronted goose/Louisiana/W23-857B/2023,Combined cloacal and oral-pharyngeal,Anser albifrons,,2023
OR801079.1,Influenza A virus,A/Aves/Guanajuato/CPA-18539-23/2023,"nasal swab, traquea swab, lung, spleen pool",Aves,,2023
PV601937.1,Influenza A virus,A/swine/Kansas/ExpPig52-BAL3DPI/2024,bronchoalveolar lavage,swine,,2024
PP576983.1,Influenza A virus,A/snow goose/Tennessee/W23-940/2023,Combined cloacal and oral-pharyngeal,Anser caerulescens,,2023
PP799719.1,Influenza A virus,A/cattle/New Mexico/24-010330-011-300/2024,,cattle,,2024
PP770445.1,Influenza A virus,A/crow/Kansas/W23-968A/2023,Combined cloacal and oral-pharyngeal,Corvus sp.,,2023
PP766974.1,Influenza A virus,A/Ross's goose/Kansas/W23-949B/2023,Oral-pharyngeal,Anser rossii,,2023
PP739514.1,Influenza A virus,A/Canada goose/Louisiana/W23-902/2023,Adrenal gland tissue,Branta canadensis,,2023
PP577001.1,Influenza A virus,A/Ross's goose/Kansas/W23-949A/2023,Brain swab,Anser rossii,,2023
PP576834.1,Influenza A virus,A/snow goose/Kansas/W23-930C/2023,Oral-pharyngeal,Anser caerulescens,,2023
OQ733101.1,Influenza A virus,A/blue-winged teal/Texas/UGAI22-3190/2022,Combined cloacal and oral-pharyngeal,Spatula discors,,2022
PV132424.1,Influenza A virus,A/Bos taurus/New Mexico/A240920343-115/2024,milk,Bos taurus,,2024
PP761601.1,Influenza A virus,A/snow goose/Kansas/W23-961D/2023,Oral-pharyngeal,Anser caerulescens,,2023
PP761508.1,Influenza A virus,A/Ross's goose/Kansas/W23-949A/2023,Cloacal,Anser rossii,,2023
PQ052804.1,Influenza A virus,A/chicken/MN/24-015550-002-original/2024,Oropharyngeal Swab,chicken,,2024
PP761635.1,Influenza A virus,A/Ross's goose/Kansas/W23-968B/2023,Cloacal,Anser rossii,,2023
PP861022.1,Influenza A virus,A/Michigan/91/2024,,Homo sapiens,,2024
OQ789277.1,Influenza A virus,A/American wigeon/South Carolina/AH0195145/2021,pooled oropharyngeal/cloacal swab,American wigeon,,2021
OQ960414.1,Influenza A virus,A/Brown Pelican/Florida/22-007313-001/2022,"Swab Pool, Cloacal/Tracheal",Brown Pelican,,2022
OQ961350.1,Influenza A virus,A/Great Horned Owl/Minnesota/22-011586-004/2022,"Swab, Cloacal",Great Horned Owl,,2022
OQ961174.1,Influenza A virus,A/Gadwall/South Carolina/22-001743-004/2022,"Swab, Oral",Gadwall,,2022
OQ960422.1,Influenza A virus,A/Brown Pelican/North Carolina/22-007917-001/2022,"Swab, Oral",Brown Pelican,,2022
OQ960406.1,Influenza A virus,A/Blue-winged and Cinnamon Teal/South Carolina/22-001743-033/2022,"Swab, Oral",Blue-winged and Cinnamon Teal,,2022
OQ959902.1,Influenza A virus,A/Black Vulture/Florida/22-006981-001/2022,"Swab, Tracheal",Black Vulture,,2022
OQ959734.1,Influenza A virus,A/Bald Eagle/South Carolina/22-007918-001/2022,"Swab, Cloacal",Bald Eagle,,2022
OQ958966.1,Influenza A virus,A/Backyard bird/Wisconsin/22-013061-005/2022,swab,Backyard bird,,2022
OQ958958.1,Influenza A virus,A/Backyard bird/Wisconsin/22-013061-004/2022,swab,Backyard bird,,2022
OQ958950.1,Influenza A virus,A/Backyard bird/Wisconsin/22-013061-003/2022,swab,Backyard bird,,2022
OQ958910.1,Influenza A virus,A/Backyard bird/Virginia/22-004415-001/2022,"Swab, Tracheal",Backyard bird,,2022
OQ958878.1,Influenza A virus,A/Backyard bird/North Dakota/22-011778-001/2022,swab,Backyard bird,,2022
OQ958870.1,Influenza A virus,A/Backyard bird/North Dakota/22-010977-003/2022,swab,Backyard bird,,2022
OQ958862.1,Influenza A virus,A/Backyard bird/North Dakota/22-010977-001/2022,swab,Backyard bird,,2022
OQ958702.1,Influenza A virus,A/Backyard bird/Nebraska/22-007805-001/2022,"Swab, Tracheal",Backyard bird,,2022
OQ958638.1,Influenza A virus,A/Backyard bird/Minnesota/22-013222-004/2022,"Swab, Cloacal",Backyard bird,,2022
OQ958630.1,Influenza A virus,A/Backyard bird/Minnesota/22-013222-002/2022,"Swab, Cloacal",Backyard bird,,2022
OQ958622.1,Influenza A virus,A/Backyard bird/Minnesota/22-013222-001/2022,"Swab, Oropharyngeal",Backyard bird,,2022
OQ958558.1,Influenza A virus,A/Backyard bird/Minnesota/22-009735-003/2022,"Swab, Cloacal",Backyard bird,,2022
OQ958550.1,Influenza A virus,A/Backyard bird/Minnesota/22-009735-001/2022,"Swab, Tracheal",Backyard bird,,2022
OQ958542.1,Influenza A virus,A/Backyard bird/Minnesota/22-009181-003/2022,"Swab, Oropharyngeal",Backyard bird,,2022
OQ958534.1,Influenza A virus,A/Backyard bird/Minnesota/22-009181-001/2022,"Swab, Oropharyngeal",Backyard bird,,2022
OQ958398.1,Influenza A virus,A/Backyard bird/Michigan/22-005440-002/2022,"Swab, Oropharyngeal",Backyard bird,,2022
OQ958390.1,Influenza A virus,A/Backyard bird/Michigan/22-005440-001/2022,"Swab, Oropharyngeal",Backyard bird,,2022
OQ958238.1,Influenza A virus,A/Backyard bird/Kansas/22-012741-003/2022,"Swab, Oropharyngeal",Backyard bird,,2022
OQ958174.1,Influenza A virus,A/Backyard bird/Iowa/22-008373-001/2022,"Swab, Tracheal",Backyard bird,,2022
OQ958158.1,Influenza A virus,A/Backyard bird/Illinois/22-009720-003/2022,"Swab, Oropharyngeal",Backyard bird,,2022
OQ958150.1,Influenza A virus,A/Backyard bird/Illinois/22-009720-001/2022,"Swab, Oropharyngeal",Backyard bird,,2022
OQ957982.1,Influenza A virus,A/American Wigeon/North Carolina/22-001330-029/2022,"Swab Pool, Cloacal/Oropharyngeal",American Wigeon,,2022
OQ957974.1,Influenza A virus,A/American Wigeon/North Carolina/22-001330-028/2022,"Swab Pool, Cloacal/Oropharyngeal",American Wigeon,,2022
OQ957950.1,Influenza A virus,A/American Wigeon/North Carolina/22-001330-024/2022,"Swab Pool, Cloacal/Oropharyngeal",American Wigeon,,2022
OQ957942.1,Influenza A virus,A/American Wigeon/North Carolina/22-001330-023/2022,"Swab Pool, Cloacal/Oropharyngeal",American Wigeon,,2022
OQ957918.1,Influenza A virus,A/American Wigeon/North Carolina/22-001330-017/2022,"Swab Pool, Cloacal/Oropharyngeal",American Wigeon,,2022
OQ957910.1,Influenza A virus,A/American Wigeon/North Carolina/22-001330-015/2022,"Swab Pool, Cloacal/Oropharyngeal",American Wigeon,,2022
OQ957902.1,Influenza A virus,A/American Wigeon/North Carolina/22-001330-012/2022,"Swab Pool, Cloacal/Oropharyngeal",American Wigeon,,2022
OQ957894.1,Influenza A virus,A/American Wigeon/North Carolina/22-001330-011/2022,"Swab Pool, Cloacal/Oropharyngeal",American Wigeon,,2022
OQ957870.1,Influenza A virus,A/American Wigeon/North Carolina/22-001329-001/2022,"Swab Pool, Cloacal/Oropharyngeal",American Wigeon,,2022
OQ957862.1,Influenza A virus,A/American Wigeon/Michigan/22-009361-005/2022,"Swab Pool, Cloacal/Tracheal",American Wigeon,,2022
OQ957846.1,Influenza A virus,A/American Wigeon/Alabama/22-004941-003/2022,"Swab Pool, Cloacal/Oropharyngeal",American Wigeon,,2022
OQ957790.1,Influenza A virus,A/American Green-winged Teal/Tennessee/22-005910-002/2022,"Swab Pool, Cloacal/Oropharyngeal",American Green-winged Teal,,2022
OQ957782.1,Influenza A virus,A/American Crow/North Dakota/22-013145-002/2022,"Swab Pool, Cloacal/Oropharyngeal",American Crow,,2022
OQ957758.1,Influenza A virus,A/American Crow/North Dakota/22-013140-003/2022,"Swab Pool, Cloacal/Oropharyngeal",American Crow,,2022
OQ957726.1,Influenza A virus,A/American Crow/North Dakota/22-011564-004/2022,"Swab Pool, Cloacal/Oropharyngeal",American Crow,,2022
OQ957702.1,Influenza A virus,A/American Crow/North Dakota/22-010665-001/2022,"Swab Pool, Cloacal/Oropharyngeal",American Crow,,2022
OQ957646.1,Influenza A virus,A/American Black Duck/Ohio/22-009205-005/2022,"Swab Pool, Cloacal/Oropharyngeal",American Black Duck,,2022
OQ957590.1,Influenza A virus,A/Turkey/Minnesota/22-011787-002/2022,swab,turkey,,2022
OQ957582.1,Influenza A virus,A/Turkey/Minnesota/22-011787-001/2022,swab,turkey,,2022
OQ957566.1,Influenza A virus,A/Canada Goose/Michigan/22-008506-005/2022,"Swab Pool, Cloacal/Tracheal",Canada Goose,,2022
OP269989.1,Influenza A virus,A/Vulpes vulpes/USA/103994/2022,brain,Vulpes vulpes,,2022
OP377607.1,Influenza A virus,A/brown pelican/North Carolina/W22-164/2022,Oral-pharyngeal,Pelecanus occidentalis,,2022
OP221375.1,Influenza A virus,A/snow goose/Kansas/W22-199E/2022,Combined cloacal and oral-pharyngeal,Anser caerulescens,,2022
OP221328.1,Influenza A virus,A/bald eagle/Florida/W22-195/2022,Combined cloacal and oral-pharyngeal,Haliaeetus leucocephalus,,2022
OP221294.1,Influenza A virus,A/snow goose/Kansas/W22-199F/2022,Combined cloacal and oral-pharyngeal,Anser caerulescens,,2022
OQ964982.1,Influenza A virus,A/Snow Goose/South Dakota/22-009478-011/2022,"Swab Pool, Cloacal/Oropharyngeal",Snow Goose,,2022
PQ719859.1,Influenza A virus,A/Wood Duck/WI/22-015320-001-original/2022,Cloacal/Oropharyngeal Swab Pool,Wood Duck,,2022
PQ719635.1,Influenza A virus,A/Wood Duck/MN/22-013394-002-original/2022,cloacal swab,Wood Duck,,2022
PQ719403.1,Influenza A virus,A/Turkey Vulture/WY/22-014910-001-original/2022,Cloacal/Tracheal Swab Pool,Turkey Vulture,,2022
PQ719283.1,Influenza A virus,A/Turkey Vulture/SD/22-014853-001-original/2022,cloacal swab,Turkey Vulture,,2022
PQ719123.1,Influenza A virus,A/Turkey Vulture/ND/22-013265-001-original/2022,Cloacal/Oropharyngeal Swab Pool,Turkey Vulture,,2022
PQ719019.1,Influenza A virus,A/Turkey Vulture/CO/22-013279-001-original/2022,Cloacal/Oropharyngeal Swab Pool,Turkey Vulture,,2022
PQ718227.1,Influenza A virus,A/Snow goose/ND/22-012395-001-original/2022,Cloacal/Oropharyngeal Swab Pool,Snow goose,,2022
PQ716779.1,Influenza A virus,A/Red-tailed hawk/WI/22-015323-001-original/2022,Cloacal/Oropharyngeal Swab Pool,Red-tailed hawk,,2022
PQ716763.1,Influenza A virus,A/Red-tailed hawk/WI/22-014393-001-original/2022,Cloacal/Oropharyngeal Swab Pool,Red-tailed hawk,,2022
PQ716683.1,Influenza A virus,A/Red-tailed hawk/SD/22-015324-004-original/2022,Cloacal/Oropharyngeal Swab Pool,Red-tailed hawk,,2022
PQ716675.1,Influenza A virus,A/Red-tailed hawk/SD/22-015324-003-original/2022,Cloacal/Oropharyngeal Swab Pool,Red-tailed hawk,,2022
PQ716667.1,Influenza A virus,A/Red-tailed hawk/SD/22-015324-001-original/2022,Cloacal/Oropharyngeal Swab Pool,Red-tailed hawk,,2022
PQ716427.1,Influenza A virus,A/Red-tailed hawk/ND/22-014515-001-original/2022,Cloacal/Oropharyngeal Swab Pool,Red-tailed hawk,,2022
PQ716283.1,Influenza A virus,A/Red-tailed hawk/MN/22-014519-001-original/2022,Cloacal/Oropharyngeal Swab Pool,Red-tailed hawk,,2022
PQ716195.1,Influenza A virus,A/Red-tailed hawk/MN/22-013395-013-original/2022,cloacal swab,Red-tailed hawk,,2022
PQ715627.1,Influenza A virus,A/Red-shouldered hawk/MN/22-014037-002-original/2022,cloacal swab,Red-shouldered hawk,,2022
PQ715059.1,Influenza A virus,A/Pelican/MO/22-012338-011-original/2022,Cloacal/Tracheal Swab Pool,Pelican,,2022
PQ713963.1,Influenza A virus,A/Mallard/TN/22-024871-002-original/2022,Virus Isolate,Mallard,,2022
PQ713955.1,Influenza A virus,A/Mallard/TN/22-024871-001-original/2022,Virus Isolate,Mallard,,2022
PQ712835.1,Influenza A virus,A/Hooded Merganser/WI/22-015310-001-original/2022,Cloacal/Oropharyngeal Swab Pool,Hooded Merganser,,2022
PQ712739.1,Influenza A virus,A/Herring Gull/WI/22-014361-001-original/2022,Cloacal/Oropharyngeal Swab Pool,Herring Gull,,2022
PQ712715.1,Influenza A virus,A/Herring Gull/WI/22-013424-002-original/2022,Cloacal/Oropharyngeal Swab Pool,Herring Gull,,2022
PQ711923.1,Influenza A virus,A/Great horned owl/WI/22-014359-001-original/2022,Cloacal/Oropharyngeal Swab Pool,Great horned owl,,2022
PQ711467.1,Influenza A virus,A/Great horned owl/MN/22-014510-001-original/2022,Cloacal/Oropharyngeal Swab Pool,Great horned owl,,2022
PQ711443.1,Influenza A virus,A/Great horned owl/MN/22-014336-013-original/2022,cloacal swab,Great horned owl,,2022
PQ711419.1,Influenza A virus,A/Great horned owl/MN/22-014336-008-original/2022,cloacal swab,Great horned owl,,2022
PQ711331.1,Influenza A virus,A/Great horned owl/MN/22-013663-005-original/2022,Cloacal/Oropharyngeal Swab Pool,Great horned owl,,2022
PQ711267.1,Influenza A virus,A/Great horned owl/MN/22-013394-001-original/2022,cloacal swab,Great horned owl,,2022
PQ711083.1,Influenza A virus,A/Great horned owl/FL/22-019885-002-original/2022,Cloacal/Tracheal Swab Pool,Great horned owl,,2022
PQ709835.1,Influenza A virus,A/Duck/FL/22-013493-001-original/2022,Cloacal/Tracheal Swab Pool,duck,,2022
PQ709795.1,Influenza A virus,A/Double-crested Cormorant/WI/22-017052-005-original/2022,cloacal swab,Double-crested Cormorant,,2022
PQ709515.1,Influenza A virus,A/Common loon/WY/22-015815-001-original/2022,cloacal swab,Common loon,,2022
PQ709259.1,Influenza A virus,A/Caspian tern/MN/22-017940-006-original/2022,Cloacal/Oropharyngeal Swab Pool,Caspian tern,,2022
PQ708955.1,Influenza A virus,A/Canada goose/WA/22-015814-001-original/2022,Cloacal/Oropharyngeal Swab Pool,Canada goose,,2022
PQ706707.1,Influenza A virus,A/Brant/AK/22-017363-001-original/2022,Cloacal/Oropharyngeal Swab Pool,Brant,,2022
PQ703683.1,Influenza A virus,A/Barred owl/MN/22-016287-001-original/2022,Cloacal/Oropharyngeal Swab Pool,Barred owl,,2022
PQ703603.1,Influenza A virus,A/Bald eagle/WI/22-017550-001-original/2022,Cloacal/Tracheal Swab Pool,Bald eagle,,2022
PQ703563.1,Influenza A virus,A/Bald eagle/WI/22-015318-001-original/2022,Cloacal/Oropharyngeal Swab Pool,Bald eagle,,2022
